Ano;Semestre;CodConcelho;Concelho;Pedidos de Ligação à Rede Executados (#)
2024;1;1411;Ferreira do Zêzere;1.0
2024;1;1414;Rio Maior;1.0
2024;1;1510;Seixal;1.0
2024;1;0117;Sever do Vouga;1.0
2024;1;1824;Vouzela;1.0
2024;1;0705;Évora;1.0
2021;1;0702;Arraiolos;1.0
2021;1;0302;Barcelos;2.0
2021;1;1504;Barreiro;1.0
2021;1;1105;Cascais;1.0
2021;1;0502;Castelo Branco;1.0
2021;1;0603;Coimbra;1.0
2021;1;1304;Gondomar;1.0
2021;1;1505;Grândola;1.0
2021;1;0308;Guimarães;2.0
2021;1;0808;Loulé;4.0
2021;1;1109;Mafra;1.0
2021;1;1306;Maia;1.0
2021;1;1507;Montijo;1.0
2021;1;1809;Nelas;1.0
2021;1;1116;Odivelas;2.0
2021;1;0506;Oleiros;1.0
2021;1;0611;Oliveira do Hospital;1.0
2021;1;1312;Porto;9.0
2021;1;0109;Santa Maria da Feira;1.0
2021;1;1416;Santarém;2.0
2021;1;1510;Seixal;1.0
2021;1;0116;São João da Madeira;1.0
2021;1;0118;Vagos;1.0
2021;1;0713;Viana do Alentejo;1.0
2021;1;0410;Vila Flor;1.0
2021;1;1420;Vila Nova da Barquinha;1.0
2021;2;0801;Albufeira;2.0
2021;2;1001;Alcobaça;1.0
2021;2;1601;Arcos de Valdevez;1.0
2021;2;0104;Arouca;2.0
2021;2;1504;Barreiro;1.0
2021;2;0501;Belmonte;1.0
2021;2;0303;Braga;1.0
2021;2;0602;Cantanhede;2.0
2021;2;0808;Loulé;5.0
2021;2;1705;Mondim de Basto;1.0
2021;2;1810;Oliveira de Frades;1.0
2021;2;1309;Paços de Ferreira;1.0
2021;2;0509;Sertã;1.0
2021;2;1512;Setúbal;1.0
2021;2;1318;Trofa;1.0
2021;2;1609;Viana do Castelo;2.0
2021;2;1114;Vila Franca de Xira;1.0
2021;2;0312;Vila Nova de Famalicão;1.0
2021;2;1823;Viseu;1.0
2022;1;0303;Braga;1.0
2022;1;0903;Celorico da Beira;1.0
2022;1;1304;Gondomar;1.0
2022;1;1009;Leiria;2.0
2022;1;1107;Loures;2.0
2022;1;1110;Oeiras;3.0
2022;1;0212;Ourique;1.0
2022;1;1214;Portalegre;1.0
2022;1;1312;Porto;4.0
2022;1;1313;Póvoa de Varzim;1.0
2022;1;1416;Santarém;1.0
2022;1;1314;Santo Tirso;2.0
2022;1;1513;Sines;1.0
2022;1;1215;Sousel;1.0
2022;1;0814;Tavira;1.0
2022;1;0914;Vila Nova de Foz Côa;2.0
2022;1;1317;Vila Nova de Gaia;2.0
2022;1;1713;Vila Pouca de Aguiar;1.0
2022;1;0313;Vila Verde;1.0
2022;1;0705;Évora;1.0
2022;2;1410;Entroncamento;1.0
2022;2;0306;Esposende;1.0
2022;2;1303;Felgueiras;2.0
