Municipio;Indústrias extrativas;Indústrias transformadoras
Arcos de Valdevez; 1; 129
Caminha; 0; 98
Melgaço; 0; 58
Monção; 10; 154
Paredes de Coura; 0; 54
Ponte da Barca; 1; 58
Ponte de Lima; 14; 309
Valença; 11; 124
Viana do Castelo; 6; 749
Vila Nova de Cerveira; 3; 75
Amares; 0; 120
Barcelos; 4; 2 531
Braga; 17; 1 294
Esposende; 6; 406
Terras de Bouro; 0; 11
Vila Verde; 6; 439
Cabeceiras de Basto; 3; 84
Fafe; 0; 686
Guimarães; 10; 2 132
Mondim de Basto; 6; 39
Póvoa de Lanhoso; 3; 227
Vieira do Minho; 0; 44
Vila Nova de Famalicão; 5; 1 622
Vizela; 0; 363
Arouca; 3; 250
Espinho; 0; 192
Gondomar; 1; 1 198
Maia; 1; 909
Matosinhos; 2; 730
Oliveira de Azeméis; 4; 1 108
Paredes; 4; 1 247
Porto; 13; 1 101
Póvoa de Varzim; 2; 488
Santa Maria da Feira; 2; 1 907
Santo Tirso; 1; 854
São João da Madeira; 0; 310
Trofa; 1; 582
Vale de Cambra; 1; 371
Valongo; 4; 675
Vila do Conde; 0; 598
Vila Nova de Gaia; 6; 1 750
Boticas; 4; 39
Chaves; 7; 232
Montalegre; 3; 60
Ribeira de Pena; 2; 30
Valpaços; 4; 106
Vila Pouca de Aguiar; 20; 63
Amarante; 3; 427
Baião; 0; 74
Castelo de Paiva; 1; 121
Celorico de Basto; 0; 117
Cinfães; 0; 79
Felgueiras; 2; 1 348
Lousada; 1; 666
Marco de Canaveses; 28; 410
Paços de Ferreira; 7; 1 262
Penafiel; 14; 494
Resende; 0; 39
Alijó; 0; 98
Armamar; 1; 26
Carrazeda de Ansiães; 0; 43
Freixo de Espada à Cinta; 0; 23
Lamego; 1; 104
Mesão Frio; 0; 17
Moimenta da Beira; 1; 53
Murça; 1; 35
Penedono; 4; 19
Peso da Régua; 1; 90
Sabrosa; 3; 39
Santa Marta de Penaguião; 0; 28
São João da Pesqueira; 2; 51
Sernancelhe; 4; 51
Tabuaço; 1; 22
Tarouca; 1; 26
Torre de Moncorvo; 1; 42
Vila Nova de Foz Côa; 6; 51
Vila Real; 9; 212
Alfândega da Fé; 0; 24
Bragança; 6; 150
Macedo de Cavaleiros; 2; 106
Miranda do Douro; 1; 69
Mirandela; 2; 144
Mogadouro; 1; 67
Vila Flor; 2; 53
Vimioso; 0; 38
Vinhais; 3; 46
Águeda; 6; 736
Albergaria-a-Velha; 1; 269
Anadia; 0; 384
Aveiro; 7; 553
Estarreja; 0; 198
Ílhavo; 6; 310
Murtosa; 0; 48
Oliveira do Bairro; 3; 324
Ovar; 2; 444
Sever do Vouga; 2; 153
Vagos; 2; 176
Arganil; 1; 70
Cantanhede; 5; 284
Coimbra; 3; 578
Condeixa-a-Nova; 5; 86
Figueira da Foz; 21; 279
Góis; 1; 32
Lousã; 1; 99
Mealhada; 0; 180
Mira; 0; 76
Miranda do Corvo; 1; 57
Montemor-o-Velho; 1; 132
Mortágua; 1; 76
Oliveira do Hospital; 3; 161
Pampilhosa da Serra; 0; 17
Penacova; 0; 76
Penela; 0; 38
Soure; 3; 102
Tábua; 2; 92
Vila Nova de Poiares; 0; 38
Alvaiázere; 1; 60
Ansião; 10; 91
Batalha; 15; 204
Castanheira de Pêra; 0; 20
Figueiró dos Vinhos; 0; 34
Leiria; 16; 1 356
Marinha Grande; 2; 556
Pedrógão Grande; 0; 28
Pombal; 15; 441
Porto de Mós; 87; 280
Aguiar da Beira; 3; 42
Carregal do Sal; 1; 77
Castro Daire; 10; 66
Mangualde; 4; 116
Nelas; 0; 80
Oliveira de Frades; 3; 81
Penalva do Castelo; 4; 40
Santa Comba Dão; 0; 63
São Pedro do Sul; 0; 87
Sátão; 2; 69
Tondela; 6; 161
Vila Nova de Paiva; 0; 30
Viseu; 6; 509
Vouzela; 0; 70
Castelo Branco; 3; 272
Idanha-a-Nova; 0; 46
Oleiros; 0; 44
Penamacor; 0; 33
Proença-a-Nova; 0; 81
Sertã; 0; 93
Vila de Rei; 0; 32
Vila Velha de Ródão; 0; 26
Almeida; 3; 22
Belmonte; 1; 40
Celorico da Beira; 1; 22
Covilhã; 2; 235
Figueira de Castelo Rodrigo; 0; 44
Fornos de Algodres; 0; 33
Fundão; 1; 182
Gouveia; 2; 80
Guarda; 4; 191
Manteigas; 0; 21
Mêda; 1; 39
Pinhel; 17; 80
Sabugal; 1; 81
Seia; 1; 162
Trancoso; 2; 61
Alcobaça; 36; 667
Alenquer; 8; 268
Arruda dos Vinhos; 0; 102
Bombarral; 1; 89
Cadaval; 7; 56
Caldas da Rainha; 3; 367
Lourinhã; 4; 132
Nazaré; 1; 76
Óbidos; 1; 91
Peniche; 1; 140
Sobral de Monte Agraço; 0; 86
Torres Vedras; 4; 522
Abrantes; 0; 160
Alcanena; 1; 182
Constância; 2; 26
Entroncamento; 0; 85
Ferreira do Zêzere; 0; 41
Mação; 0; 51
Ourém; 11; 450
Sardoal; 0; 32
Tomar; 3; 181
Torres Novas; 0; 153
Vila Nova da Barquinha; 0; 21
Almeirim; 0; 101
Alpiarça; 0; 33
Azambuja; 0; 102
Benavente; 0; 134
Cartaxo; 0; 152
Chamusca; 3; 57
Coruche; 4; 89
Golegã; 0; 29
Rio Maior; 40; 185
Salvaterra de Magos; 2; 103
Santarém; 46; 364
Amadora; 1; 423
Cascais; 5; 819
Lisboa; 35; 1 997
Loures; 2; 827
Mafra; 3; 558
Odivelas; 0; 483
Oeiras; 3; 484
Sintra; 25; 1 782
Vila Franca de Xira; 2; 482
Alcochete; 0; 85
Almada; 4; 469
Barreiro; 1; 183
Moita; 0; 189
Montijo; 0; 214
Palmela; 0; 324
Seixal; 3; 559
Sesimbra; 4; 196
Setúbal; 2; 454
Alcácer do Sal; 1; 70
Grândola; 6; 74
Odemira; 0; 136
Santiago do Cacém; 4; 117
Sines; 0; 69
Aljustrel; 2; 54
Almodôvar; 0; 33
Alvito; 0; 16
Barrancos; 0; 8
Beja; 0; 180
Castro Verde; 1; 42
Cuba; 0; 33
Ferreira do Alentejo; 1; 39
Mértola; 0; 35
Moura; 3; 77
Ourique; 0; 32
Serpa; 0; 90
Vidigueira; 0; 42
Alter do Chão; 0; 14
Arronches; 0; 9
Avis; 0; 20
Campo Maior; 0; 45
Castelo de Vide; 0; 22
Crato; 2; 20
Elvas; 2; 94
Fronteira; 0; 20
Gavião; 0; 20
Marvão; 0; 25
Monforte; 0; 16
Nisa; 1; 70
Ponte de Sor; 1; 81
Portalegre; 1; 113
Sousel; 1; 40
Alandroal; 4; 40
Arraiolos; 5; 74
Borba; 5; 64
Estremoz; 5; 108
Évora; 4; 246
Montemor-o-Novo; 0; 86
Mora; 0; 37
Mourão; 0; 13
Portel; 0; 29
Redondo; 1; 59
Reguengos de Monsaraz; 0; 93
Vendas Novas; 0; 69
Viana do Alentejo; 1; 37
Vila Viçosa; 25; 53
Albufeira; 1; 137
Alcoutim; 0; 18
Aljezur; 1; 39
Castro Marim; 4; 27
Faro; 4; 236
Lagoa; 2; 123
Lagos; 0; 141
Loulé; 8; 370
Monchique; 2; 77
Olhão; 6; 202
Portimão; 1; 221
São Brás de Alportel; 0; 90
Silves; 1; 196
Tavira; 5; 104
Vila do Bispo; 0; 27
Vila Real de Santo António; 1; 71
Vila do Porto; 0; 31
Lagoa [R.A.A.]; 0; 57
Nordeste; 1; 17
Ponta Delgada; 1; 258
Povoação; 0; 23
Ribeira Grande; 3; 114
Vila Franca do Campo; 0; 26
Angra do Heroísmo; 1; 176
Vila da Praia da Vitória; 0; 105
Santa Cruz da Graciosa; 0; 25
Calheta [R.A.A.]; 0; 25
Velas; 1; 33
Lajes do Pico; 2; 37
Madalena; 0; 58
São Roque do Pico; 1; 28
Horta; 3; 96
Lajes das Flores; 0; 8
Santa Cruz das Flores; 0; 6
Corvo; 0; 5
Calheta [R.A.M.]; 0; 31
Câmara de Lobos; 2; 74
Funchal; 10; 315
Machico; 0; 66
Ponta do Sol; 0; 28
Porto Moniz; 0; 12
Ribeira Brava; 0; 35
Santa Cruz; 0; 143
Santana; 1; 23
São Vicente; 0; 14
Porto Santo; 1; 15
