Concelho,Nível de Tensão,Ano,Mês,CPEs_Doméstico,CPEs_Iluminação Pública,CPEs_Não Doméstico,CPEs_Outros
Abrantes,Baixa Tensão,2022,3,20283.0,293.0,4334.0,83.0
Abrantes,Baixa Tensão,2022,4,20267.0,293.0,4337.0,83.0
Abrantes,Baixa Tensão,2022,5,20254.0,293.0,4324.0,82.0
Abrantes,Baixa Tensão,2022,6,20259.0,293.0,4327.0,82.0
Abrantes,Baixa Tensão,2022,7,20250.0,293.0,4320.0,83.0
Abrantes,Baixa Tensão,2022,8,20260.0,293.0,4318.0,83.0
Abrantes,Baixa Tensão,2022,9,20270.0,293.0,4311.0,81.0
Abrantes,Baixa Tensão,2022,10,20280.0,293.0,4302.0,81.0
Abrantes,Baixa Tensão,2022,11,20291.0,293.0,4308.0,80.0
Abrantes,Baixa Tensão,2022,12,20297.0,294.0,4312.0,82.0
Abrantes,Baixa Tensão,2023,1,20298.0,294.0,4309.0,82.0
Abrantes,Baixa Tensão,2023,2,20288.0,294.0,4310.0,113.0
Abrantes,Baixa Tensão,2023,3,20280.0,294.0,4316.0,75.0
Abrantes,Baixa Tensão,2023,4,20280.0,294.0,4316.0,75.0
Abrantes,Baixa Tensão,2023,5,20280.0,294.0,4316.0,75.0
Abrantes,Baixa Tensão,2023,6,20329.0,295.0,4346.0,77.0
Abrantes,Baixa Tensão,2023,7,20344.0,295.0,4341.0,73.0
Abrantes,Baixa Tensão,2023,8,20344.0,296.0,4338.0,72.0
Abrantes,Baixa Tensão,2023,9,20344.0,296.0,4344.0,70.0
Abrantes,Baixa Tensão,2023,10,20372.0,296.0,4351.0,69.0
Abrantes,Baixa Tensão,2023,11,20382.0,296.0,4348.0,69.0
Abrantes,Baixa Tensão,2023,12,20379.0,296.0,4354.0,68.0
Abrantes,Baixa Tensão,2024,1,20372.0,296.0,4350.0,68.0
Abrantes,Baixa Tensão,2024,2,20353.0,296.0,4349.0,98.0
Abrantes,Baixa Tensão,2024,3,20341.0,296.0,4353.0,67.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,133.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,133.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,133.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,134.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,133.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,133.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,132.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,131.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,131.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,130.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,129.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,128.0,0.0
Abrantes,"Muito Alta, Alta e Média Tensões",2024,3,0.0,0.0,128.0,0.0
Aguiar da Beira,Baixa Tensão,2022,3,3799.0,91.0,993.0,20.0
Aguiar da Beira,Baixa Tensão,2022,4,3791.0,91.0,993.0,21.0
Aguiar da Beira,Baixa Tensão,2022,5,3785.0,91.0,996.0,21.0
Aguiar da Beira,Baixa Tensão,2022,6,3779.0,91.0,999.0,19.0
Aguiar da Beira,Baixa Tensão,2022,7,3781.0,92.0,999.0,18.0
Aguiar da Beira,Baixa Tensão,2022,8,3782.0,92.0,1000.0,14.0
Aguiar da Beira,Baixa Tensão,2022,9,3784.0,92.0,999.0,16.0
Aguiar da Beira,Baixa Tensão,2022,10,3784.0,92.0,998.0,16.0
Aguiar da Beira,Baixa Tensão,2022,11,3779.0,92.0,999.0,16.0
Aguiar da Beira,Baixa Tensão,2022,12,3782.0,93.0,1001.0,16.0
Aguiar da Beira,Baixa Tensão,2023,1,3788.0,95.0,998.0,15.0
Aguiar da Beira,Baixa Tensão,2023,2,3793.0,95.0,996.0,15.0
Aguiar da Beira,Baixa Tensão,2023,3,3794.0,95.0,997.0,14.0
Aguiar da Beira,Baixa Tensão,2023,4,3794.0,95.0,997.0,14.0
Aguiar da Beira,Baixa Tensão,2023,5,3794.0,95.0,997.0,14.0
Aguiar da Beira,Baixa Tensão,2023,6,3802.0,95.0,1007.0,13.0
Aguiar da Beira,Baixa Tensão,2023,7,3806.0,95.0,1006.0,14.0
Aguiar da Beira,Baixa Tensão,2023,8,3813.0,95.0,1005.0,11.0
Aguiar da Beira,Baixa Tensão,2023,9,3811.0,95.0,1001.0,10.0
Aguiar da Beira,Baixa Tensão,2023,10,3811.0,95.0,1002.0,11.0
Aguiar da Beira,Baixa Tensão,2023,11,3806.0,95.0,1001.0,15.0
Aguiar da Beira,Baixa Tensão,2023,12,3807.0,96.0,998.0,14.0
Aguiar da Beira,Baixa Tensão,2024,1,3805.0,96.0,996.0,9.0
Aguiar da Beira,Baixa Tensão,2024,2,3810.0,96.0,998.0,9.0
Aguiar da Beira,Baixa Tensão,2024,3,3815.0,96.0,1003.0,9.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,3,0.0,0.0,15.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,4,0.0,0.0,15.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,5,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,6,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,7,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,8,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,9,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,10,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,11,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2022,12,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,1,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,2,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,3,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,4,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,5,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,6,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,7,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,8,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,9,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,10,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,11,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2023,12,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,1,0.0,0.0,16.0,0.0
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2024,2,0.0,0.0,16.0,0.0
