concelho,nivel_de_tensao,ano,mes,energia_ativa_kwh
Abrantes,Baixa Tensão,2020,11,6028876.823
Abrantes,Baixa Tensão,2020,12,7077695.231
Abrantes,Baixa Tensão,2021,1,7712489.589000001
Abrantes,Baixa Tensão,2021,2,6002902.204
Abrantes,Baixa Tensão,2021,3,5968053.132999999
Abrantes,Baixa Tensão,2021,4,5286618.275
Abrantes,Baixa Tensão,2021,5,5273576.492
Abrantes,Baixa Tensão,2021,6,5198165.148
Abrantes,Baixa Tensão,2021,7,5584150.218
Abrantes,Baixa Tensão,2021,8,5647642.591
Abrantes,Baixa Tensão,2021,9,5332372.279
Abrantes,Baixa Tensão,2021,10,5558506.416
Abrantes,Baixa Tensão,2021,11,6229434.446
Abrantes,Baixa Tensão,2021,12,7064244.209000001
Abrantes,Baixa Tensão,2022,1,7305927.452
Abrantes,Baixa Tensão,2022,2,6260063.341
Abrantes,Baixa Tensão,2022,3,6377125.614
Abrantes,Baixa Tensão,2022,4,5562424.1
Abrantes,Baixa Tensão,2022,5,5483020.698999999
Abrantes,Baixa Tensão,2022,6,5423066.794
Abrantes,Baixa Tensão,2022,7,6230478.442
Abrantes,Baixa Tensão,2022,8,5908716.726
Abrantes,Baixa Tensão,2022,9,5319528.107
Abrantes,Baixa Tensão,2022,10,5431060.198
Abrantes,Baixa Tensão,2022,11,5845742.136
Abrantes,Baixa Tensão,2022,12,6780793.391
Abrantes,Baixa Tensão,2023,1,7371280.764
Abrantes,Baixa Tensão,2023,2,6508911.283000001
Abrantes,Baixa Tensão,2023,3,6078748.399
Abrantes,Baixa Tensão,2023,4,5176041.2809999995
Abrantes,Baixa Tensão,2023,5,5243476.885
Abrantes,Baixa Tensão,2023,6,5393047.388
Abrantes,Baixa Tensão,2023,7,5895124.751999999
Abrantes,Baixa Tensão,2023,8,5991535.788
Abrantes,Baixa Tensão,2023,9,5378651.415
Abrantes,Baixa Tensão,2023,10,5650166.64
Abrantes,Baixa Tensão,2023,11,6196875.916
Abrantes,Baixa Tensão,2023,12,7719291.295
Abrantes,Baixa Tensão,2024,1,7518534.12
Abrantes,Baixa Tensão,2024,2,2471058.88
Abrantes,"Muito Alta, Alta e Média Tensões",2020,11,9314171.292
Abrantes,"Muito Alta, Alta e Média Tensões",2020,12,8990329.035
Abrantes,"Muito Alta, Alta e Média Tensões",2021,1,8494719.139
Abrantes,"Muito Alta, Alta e Média Tensões",2021,2,9391761.18
Abrantes,"Muito Alta, Alta e Média Tensões",2021,3,9659467.874
Abrantes,"Muito Alta, Alta e Média Tensões",2021,4,7965633.637999999
Abrantes,"Muito Alta, Alta e Média Tensões",2021,5,9280621.81
Abrantes,"Muito Alta, Alta e Média Tensões",2021,6,8936064.845
Abrantes,"Muito Alta, Alta e Média Tensões",2021,7,9533413.795
Abrantes,"Muito Alta, Alta e Média Tensões",2021,8,8908553.199000001
Abrantes,"Muito Alta, Alta e Média Tensões",2021,9,8812883.52
Abrantes,"Muito Alta, Alta e Média Tensões",2021,10,9053097.975
Abrantes,"Muito Alta, Alta e Média Tensões",2021,11,8359201.393
Abrantes,"Muito Alta, Alta e Média Tensões",2021,12,7033530.632
Abrantes,"Muito Alta, Alta e Média Tensões",2022,1,7287400.901000001
Abrantes,"Muito Alta, Alta e Média Tensões",2022,2,6570648.063
Abrantes,"Muito Alta, Alta e Média Tensões",2022,3,7157802.916999999
Abrantes,"Muito Alta, Alta e Média Tensões",2022,4,6312850.26
Abrantes,"Muito Alta, Alta e Média Tensões",2022,5,6320147.2469999995
Abrantes,"Muito Alta, Alta e Média Tensões",2022,6,5788702.612
Abrantes,"Muito Alta, Alta e Média Tensões",2022,7,6487342.101
Abrantes,"Muito Alta, Alta e Média Tensões",2022,8,5891542.227
Abrantes,"Muito Alta, Alta e Média Tensões",2022,9,6159115.706
Abrantes,"Muito Alta, Alta e Média Tensões",2022,10,6360625.206
Abrantes,"Muito Alta, Alta e Média Tensões",2022,11,5961164.626
Abrantes,"Muito Alta, Alta e Média Tensões",2022,12,5272178.134
Abrantes,"Muito Alta, Alta e Média Tensões",2023,1,6615131.802
Abrantes,"Muito Alta, Alta e Média Tensões",2023,2,5674410.04
Abrantes,"Muito Alta, Alta e Média Tensões",2023,3,6187526.764
Abrantes,"Muito Alta, Alta e Média Tensões",2023,4,5652034.043
Abrantes,"Muito Alta, Alta e Média Tensões",2023,5,5924078.599
Abrantes,"Muito Alta, Alta e Média Tensões",2023,6,5252440.751999999
Abrantes,"Muito Alta, Alta e Média Tensões",2023,7,5906508.825999999
Abrantes,"Muito Alta, Alta e Média Tensões",2023,8,5357597.886
Abrantes,"Muito Alta, Alta e Média Tensões",2023,9,5680322.62
Abrantes,"Muito Alta, Alta e Média Tensões",2023,10,6098404.032
Abrantes,"Muito Alta, Alta e Média Tensões",2023,11,6292665.594
Abrantes,"Muito Alta, Alta e Média Tensões",2023,12,5739963.041999999
Abrantes,"Muito Alta, Alta e Média Tensões",2024,1,6369608.506
Abrantes,"Muito Alta, Alta e Média Tensões",2024,2,2127509.494
Aguiar da Beira,Baixa Tensão,2020,11,1063269.648
Aguiar da Beira,Baixa Tensão,2020,12,1167167.295
Aguiar da Beira,Baixa Tensão,2021,1,1173122.664
Aguiar da Beira,Baixa Tensão,2021,2,1003998.894
Aguiar da Beira,Baixa Tensão,2021,3,1009690.7000000001
Aguiar da Beira,Baixa Tensão,2021,4,961041.627
Aguiar da Beira,Baixa Tensão,2021,5,967360.009
Aguiar da Beira,Baixa Tensão,2021,6,1000934.062
Aguiar da Beira,Baixa Tensão,2021,7,1122151.132
Aguiar da Beira,Baixa Tensão,2021,8,1136640.904
Aguiar da Beira,Baixa Tensão,2021,9,1037873.138
Aguiar da Beira,Baixa Tensão,2021,10,1067229.487
Aguiar da Beira,Baixa Tensão,2021,11,1086702.656
Aguiar da Beira,Baixa Tensão,2021,12,1159061.727
Aguiar da Beira,Baixa Tensão,2022,1,1136466.945
Aguiar da Beira,Baixa Tensão,2022,2,1001941.219
Aguiar da Beira,Baixa Tensão,2022,3,1071837.546
Aguiar da Beira,Baixa Tensão,2022,4,1006307.934
Aguiar da Beira,Baixa Tensão,2022,5,988222.164
Aguiar da Beira,Baixa Tensão,2022,6,1007127.1919999999
Aguiar da Beira,Baixa Tensão,2022,7,1175804.1330000001
Aguiar da Beira,Baixa Tensão,2022,8,1175081.094
Aguiar da Beira,Baixa Tensão,2022,9,1020159.556
Aguiar da Beira,Baixa Tensão,2022,10,1040276.601
Aguiar da Beira,Baixa Tensão,2022,11,1086080.294
Aguiar da Beira,Baixa Tensão,2022,12,1167576.322
Aguiar da Beira,Baixa Tensão,2023,1,1178492.048
Aguiar da Beira,Baixa Tensão,2023,2,1016374.4890000001
Aguiar da Beira,Baixa Tensão,2023,3,1062276.0520000001
Aguiar da Beira,Baixa Tensão,2023,4,950221.976
Aguiar da Beira,Baixa Tensão,2023,5,967925.289
Aguiar da Beira,Baixa Tensão,2023,6,992994.146
Aguiar da Beira,Baixa Tensão,2023,7,1146291.9239999999
Aguiar da Beira,Baixa Tensão,2023,8,1190658.942
Aguiar da Beira,Baixa Tensão,2023,9,1023007.992
Aguiar da Beira,Baixa Tensão,2023,10,1083710.295
Aguiar da Beira,Baixa Tensão,2023,11,1141016.938
Aguiar da Beira,Baixa Tensão,2023,12,1271396.909
Aguiar da Beira,Baixa Tensão,2024,1,1216944.807
Aguiar da Beira,Baixa Tensão,2024,2,377938.19299999997
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2020,11,262361.91
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2020,12,269847.67
Aguiar da Beira,"Muito Alta, Alta e Média Tensões",2021,1,278768.006
