concelho,ano,mes,inclui_mobilidade_eletrica,cpes_com_dcs_recolhidos_quantidade
Abrantes,2022,8,Não,11097
Abrantes,2022,8,Sim,1
Abrantes,2022,9,Não,11298
Abrantes,2022,9,Sim,1
Abrantes,2022,10,Não,11563
Abrantes,2022,10,Sim,1
Abrantes,2022,11,Não,11969
Abrantes,2022,11,Sim,1
Abrantes,2022,12,Não,12210
Abrantes,2022,12,Sim,1
Abrantes,2023,1,Não,13334
Abrantes,2023,1,Sim,1
Abrantes,2023,2,Não,13499
Abrantes,2023,2,Sim,1
Abrantes,2023,3,Não,13973
Abrantes,2023,3,Sim,1
Abrantes,2023,4,Não,14307
Abrantes,2023,4,Sim,1
Abrantes,2023,5,Não,14194
Abrantes,2023,5,Sim,1
Abrantes,2023,6,Não,14834
Abrantes,2023,6,Sim,2
Abrantes,2023,7,Não,14679
Abrantes,2023,7,Sim,2
Abrantes,2023,8,Não,14815
Abrantes,2023,8,Sim,2
Abrantes,2023,9,Não,14855
Abrantes,2023,9,Sim,2
Abrantes,2023,10,Não,15457
Abrantes,2023,10,Sim,2
Abrantes,2023,11,Não,15853
Abrantes,2023,11,Sim,2
Abrantes,2023,12,Não,16460
Abrantes,2023,12,Sim,2
Abrantes,2024,1,Não,17073
Abrantes,2024,1,Sim,3
Abrantes,2024,2,Não,17478
Abrantes,2024,2,Sim,4
Abrantes,2024,3,Não,17840
Abrantes,2024,3,Sim,5
Abrantes,2024,4,Não,17846
Abrantes,2024,4,Sim,5
Aguiar da Beira,2022,8,Não,1895
Aguiar da Beira,2022,8,Sim,1
Aguiar da Beira,2022,9,Não,1916
Aguiar da Beira,2022,9,Sim,1
Aguiar da Beira,2022,10,Não,2096
Aguiar da Beira,2022,10,Sim,1
Aguiar da Beira,2022,11,Não,2488
Aguiar da Beira,2022,11,Sim,1
Aguiar da Beira,2022,12,Não,2549
Aguiar da Beira,2022,12,Sim,1
Aguiar da Beira,2023,1,Não,2661
Aguiar da Beira,2023,1,Sim,1
Aguiar da Beira,2023,2,Não,2971
Aguiar da Beira,2023,2,Sim,1
Aguiar da Beira,2023,3,Não,2909
Aguiar da Beira,2023,3,Sim,2
Aguiar da Beira,2023,4,Não,2995
Aguiar da Beira,2023,4,Sim,2
Aguiar da Beira,2023,5,Não,2919
Aguiar da Beira,2023,5,Sim,2
Aguiar da Beira,2023,6,Não,3302
Aguiar da Beira,2023,6,Sim,2
Aguiar da Beira,2023,7,Não,3490
Aguiar da Beira,2023,7,Sim,2
Aguiar da Beira,2023,8,Não,3568
Aguiar da Beira,2023,8,Sim,2
Aguiar da Beira,2023,9,Não,3514
Aguiar da Beira,2023,9,Sim,2
Aguiar da Beira,2023,10,Não,3669
Aguiar da Beira,2023,10,Sim,2
Aguiar da Beira,2023,11,Não,3801
Aguiar da Beira,2023,11,Sim,2
Aguiar da Beira,2023,12,Não,3972
Aguiar da Beira,2023,12,Sim,2
Aguiar da Beira,2024,1,Não,4127
Aguiar da Beira,2024,1,Sim,2
Aguiar da Beira,2024,2,Não,4306
Aguiar da Beira,2024,2,Sim,2
Aguiar da Beira,2024,3,Não,4303
Aguiar da Beira,2024,3,Sim,2
Aguiar da Beira,2024,4,Não,4362
Aguiar da Beira,2024,4,Sim,2
Alandroal,2022,8,Não,1398
Alandroal,2022,8,Sim,1
Alandroal,2022,9,Não,1403
Alandroal,2022,9,Sim,1
Alandroal,2022,10,Não,1490
Alandroal,2022,10,Sim,1
Alandroal,2022,11,Não,1574
Alandroal,2022,11,Sim,1
Alandroal,2022,12,Não,1698
Alandroal,2022,12,Sim,1
Alandroal,2023,1,Não,1715
Alandroal,2023,1,Sim,1
Alandroal,2023,2,Não,1689
Alandroal,2023,2,Sim,1
Alandroal,2023,3,Não,1827
Alandroal,2023,3,Sim,1
Alandroal,2023,4,Não,1875
Alandroal,2023,4,Sim,1
Alandroal,2023,5,Não,1937
Alandroal,2023,5,Sim,1
Alandroal,2023,6,Não,1938
Alandroal,2023,6,Sim,1
Alandroal,2023,7,Não,1941
Alandroal,2023,7,Sim,1
Alandroal,2023,8,Não,1939
Alandroal,2023,8,Sim,1
Alandroal,2023,9,Não,2120
Alandroal,2023,9,Sim,1
Alandroal,2023,10,Não,2151
Alandroal,2023,10,Sim,1
Alandroal,2023,11,Não,2264
Alandroal,2023,11,Sim,1
Alandroal,2023,12,Não,2333
Alandroal,2023,12,Sim,1
Alandroal,2024,1,Não,2540
Alandroal,2024,1,Sim,1
Alandroal,2024,2,Não,2558
Alandroal,2024,2,Sim,1
Alandroal,2024,3,Não,2786
Alandroal,2024,3,Sim,1
Alandroal,2024,4,Não,2794
Alandroal,2024,4,Sim,1
Albergaria-a-Velha,2022,8,Não,3535
Albergaria-a-Velha,2022,8,Sim,1
Albergaria-a-Velha,2022,9,Não,3458
Albergaria-a-Velha,2022,9,Sim,1
Albergaria-a-Velha,2022,10,Não,3630
Albergaria-a-Velha,2022,10,Sim,1
Albergaria-a-Velha,2022,11,Não,3658
Albergaria-a-Velha,2022,11,Sim,1
Albergaria-a-Velha,2022,12,Não,3888
Albergaria-a-Velha,2022,12,Sim,2
Albergaria-a-Velha,2023,1,Não,3914
Albergaria-a-Velha,2023,1,Sim,2
Albergaria-a-Velha,2023,2,Não,4056
Albergaria-a-Velha,2023,2,Sim,2
Albergaria-a-Velha,2023,3,Não,4826
Albergaria-a-Velha,2023,3,Sim,2
Albergaria-a-Velha,2023,4,Não,4982
Albergaria-a-Velha,2023,4,Sim,2
Albergaria-a-Velha,2023,5,Não,6174
Albergaria-a-Velha,2023,5,Sim,2
Albergaria-a-Velha,2023,6,Não,6592
Albergaria-a-Velha,2023,6,Sim,2
Albergaria-a-Velha,2023,7,Não,6774
Albergaria-a-Velha,2023,7,Sim,2
Albergaria-a-Velha,2023,8,Não,7108
Albergaria-a-Velha,2023,8,Sim,1
Albergaria-a-Velha,2023,9,Não,8203
Albergaria-a-Velha,2023,9,Sim,2
Albergaria-a-Velha,2023,10,Não,8235
Albergaria-a-Velha,2023,10,Sim,2
Albergaria-a-Velha,2023,11,Não,8295
Albergaria-a-Velha,2023,11,Sim,2
Albergaria-a-Velha,2023,12,Não,8787
Albergaria-a-Velha,2023,12,Sim,1
Albergaria-a-Velha,2024,1,Não,8935
Albergaria-a-Velha,2024,1,Sim,2
Albergaria-a-Velha,2024,2,Não,9415
Albergaria-a-Velha,2024,2,Sim,2
Albergaria-a-Velha,2024,3,Não,10593
Albergaria-a-Velha,2024,3,Sim,2
Albergaria-a-Velha,2024,4,Não,10666
Albergaria-a-Velha,2024,4,Sim,2
Albufeira,2022,8,Não,25004
Albufeira,2022,8,Sim,11
Albufeira,2022,9,Não,24770
Albufeira,2022,9,Sim,11
Albufeira,2022,10,Não,26414
Albufeira,2022,10,Sim,10
Albufeira,2022,11,Não,27383
Albufeira,2022,11,Sim,11
Albufeira,2022,12,Não,27301
Albufeira,2022,12,Sim,11
Albufeira,2023,1,Não,27672
Albufeira,2023,1,Sim,11
Albufeira,2023,2,Não,28778
Albufeira,2023,2,Sim,11
Albufeira,2023,3,Não,29741
Albufeira,2023,3,Sim,11
Albufeira,2023,4,Não,31015
Albufeira,2023,4,Sim,10
Albufeira,2023,5,Não,32015
Albufeira,2023,5,Sim,11
Albufeira,2023,6,Não,32597
Albufeira,2023,6,Sim,11
Albufeira,2023,7,Não,34000
Albufeira,2023,7,Sim,11
Albufeira,2023,8,Não,34352
Albufeira,2023,8,Sim,11
Albufeira,2023,9,Não,35718
Albufeira,2023,9,Sim,11
Albufeira,2023,10,Não,37268
Albufeira,2023,10,Sim,10
Albufeira,2023,11,Não,38067
Albufeira,2023,11,Sim,10
Albufeira,2023,12,Não,39234
Albufeira,2023,12,Sim,10
Albufeira,2024,1,Não,39761
Albufeira,2024,1,Sim,11
Albufeira,2024,2,Não,40751
Albufeira,2024,2,Sim,12
Albufeira,2024,3,Não,42331
Albufeira,2024,3,Sim,11
Albufeira,2024,4,Não,42193
Albufeira,2024,4,Sim,11
Alcanena,2022,8,Não,2488
Alcanena,2022,8,Sim,1
Alcanena,2022,9,Não,2465
Alcanena,2022,9,Sim,1
Alcanena,2022,10,Não,2549
