ano,mes,energia_ativa_baixa_tensao_kwh,energia_ativa_alta_tensao_kwh,cpes_domestico_baixa_tensao,cpes_domestico_alta_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_iluminacao_publica_alta_tensao,cpes_nao_domestico_baixa_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_baixa_tensao,cpes_outros_alta_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao
2022,8,5906036,5891542,20260,0,293,0,4318,134,83,0,22194,2
2022,9,5316878,6159115,20270,0,293,0,4311,134,81,0,22596,2
2022,10,5428732,6360625,20280,0,293,0,4302,134,81,0,23126,2
2022,11,5843266,5961164,20291,0,293,0,4308,134,80,0,23938,2
2022,12,6778130,5272178,20297,0,294,0,4312,134,82,0,24420,2
2023,1,7369772,6615131,20298,0,294,0,4309,132,82,0,26668,2
2023,2,6507806,5674410,20288,0,294,0,4310,132,113,0,26998,2
2023,3,6077229,6187526,20280,0,294,0,4316,132,75,0,27946,2
2023,4,5174260,5652034,20280,0,294,0,4316,132,75,0,28614,2
2023,5,5241076,5924078,20280,0,294,0,4316,132,75,0,28388,2
2023,6,5390736,5252440,20329,0,295,0,4346,133,77,0,29668,4
2023,7,5893487,5906508,20344,0,295,0,4341,133,73,0,29358,4
2023,8,5988657,5357597,20344,0,296,0,4338,132,72,0,29630,4
2023,9,5375821,5680322,20344,0,296,0,4344,132,70,0,29710,4
2023,10,5648442,6098404,20372,0,296,0,4351,131,69,0,30914,4
2023,11,6175214,6292809,20382,0,296,0,4348,131,69,0,31706,4
2023,12,7689317,5732598,20379,0,296,0,4354,130,68,0,32920,4
2024,1,3469066,2353635,20372,0,296,0,4350,129,68,0,34146,6
2022,8,1169901,246588,3782,0,92,0,1000,16,14,0,3790,2
2022,9,1015091,215850,3784,0,92,0,999,16,16,0,3832,2
2022,10,1034971,228321,3784,0,92,0,998,16,16,0,4192,2
2022,11,1080885,239289,3779,0,92,0,999,16,16,0,4976,2
2022,12,1162331,257138,3782,0,93,0,1001,16,16,0,5098,2
2023,1,1173285,225363,3788,0,95,0,998,16,15,0,5322,2
2023,2,1011769,195666,3793,0,95,0,996,16,15,0,5942,2
2023,3,1057910,197758,3794,0,95,0,997,16,14,0,5818,4
2023,4,947341,174455,3794,0,95,0,997,16,14,0,5990,4
2023,5,963018,174014,3794,0,95,0,997,16,14,0,5838,4
2023,6,986129,171164,3802,0,95,0,1007,16,13,0,6604,4
2023,7,1134875,184719,3806,0,95,0,1006,16,14,0,6980,4
2023,8,1177218,202506,3813,0,95,0,1005,16,11,0,7136,4
2023,9,1009073,188051,3811,0,95,0,1001,16,10,0,7028,4
2023,10,1066495,210530,3811,0,95,0,1002,16,11,0,7338,4
2023,11,1121595,229750,3806,0,95,0,1001,16,15,0,7602,4
2023,12,1243847,234395,3807,0,96,0,998,16,14,0,7944,4
2024,1,520450,78264,3805,0,96,0,996,16,9,0,8254,4
2022,8,1475145,621877,3294,0,45,0,738,39,16,0,2796,2
2022,9,1205118,336901,3292,0,45,0,739,39,13,0,2806,2
2022,10,1114549,274348,3288,0,45,0,741,39,14,0,2980,2
2022,11,1099676,170463,3287,0,45,0,742,39,12,0,3148,2
2022,12,1242769,140352,3279,0,45,0,743,39,13,0,3396,2
2023,1,1353095,146673,3285,0,45,0,744,38,12,0,3430,2
2023,2,1203300,146899,3291,0,45,0,742,38,12,0,3378,2
2023,3,1212456,219936,3291,0,45,0,744,38,12,0,3654,2
2023,4,1120952,361439,3291,0,45,0,744,38,12,0,3750,2
2023,5,1188579,469632,3291,0,45,0,744,38,12,0,3874,2
2023,6,1293297,593425,3288,0,45,0,749,38,13,0,3876,2
2023,7,1479095,754480,3289,0,45,0,755,38,13,0,3882,2
2023,8,1446188,626678,3291,0,45,0,756,38,18,0,3878,2
2023,9,1210568,355796,3295,0,45,0,754,38,14,0,4240,2
2023,10,1144775,263041,3293,0,45,0,752,38,13,0,4302,2
2023,11,1157678,166068,3292,0,45,0,750,38,13,0,4528,2
2023,12,1368416,153926,3294,0,45,0,749,38,15,0,4666,2
2024,1,554820,81826,3294,0,45,0,750,38,11,0,5080,2
2022,8,3805219,8327918,11240,0,178,0,2504,91,124,0,7070,2
2022,9,3925001,13000726,11239,0,178,0,2509,91,122,0,6916,2
2022,10,4753780,12996088,11257,0,178,0,2504,91,118,0,7260,2
2022,11,4394954,13165868,11270,0,178,0,2505,92,117,0,7316,2
2022,12,4759523,11079849,11283,0,178,0,2504,92,117,0,7776,4
2023,1,4902034,11099903,11301,0,178,0,2506,92,114,0,7828,4
2023,2,4246654,12307057,11309,0,178,0,2509,92,114,0,8112,4
2023,3,4320683,13463007,11318,0,178,0,2516,92,112,0,9652,4
2023,4,3818924,12027150,11318,0,178,0,2516,92,112,0,9964,4
2023,5,3822882,11546733,11318,0,178,0,2516,92,112,0,12348,4
2023,6,3763536,11218319,11340,0,178,0,2521,91,111,0,13184,4
2023,7,3859690,11495667,11352,0,178,0,2526,91,111,0,13548,4
2023,8,3883080,7835683,11357,0,178,0,2527,91,104,0,14216,2
2023,9,3797386,11319493,11369,0,178,0,2528,91,103,0,16406,4
2023,10,4203094,12653544,11368,0,178,0,2531,91,102,0,16470,4
2023,11,4530934,11811530,11378,0,178,0,2533,91,100,0,16590,4
2023,12,5158009,8871029,11387,0,178,0,2535,91,98,0,17574,2
2024,1,2275987,2318298,11388,0,178,0,2527,91,95,0,17870,4
2022,8,25093203,13673864,42621,0,455,0,10407,124,137,0,50008,22
2022,9,21585438,11752874,42624,0,455,0,10413,126,134,0,49540,22
2022,10,19745170,10701255,42602,0,455,0,10366,125,135,0,52828,20
2022,11,16893126,7788278,42408,0,455,0,10256,125,134,0,54766,22
2022,12,17309491,6823147,42448,0,455,0,10148,126,136,0,54602,22
2023,1,18795610,6641957,42450,0,455,0,10155,127,130,0,55344,22
2023,2,17935517,6555221,42485,0,457,0,10198,128,130,0,57556,22
2023,3,18916218,8322189,42714,0,457,0,10382,129,130,0,59482,22
2023,4,18703983,9596486,42714,0,457,0,10381,129,130,0,62030,20
2023,5,20274516,10724394,42714,0,457,0,10381,129,130,0,64030,22
2023,6,22373757,11970546,42966,0,458,0,10471,130,132,0,65194,22
2023,7,26908137,14138246,43028,0,458,0,10490,131,129,0,68000,22
2023,8,27955361,14733998,43051,0,458,0,10490,131,135,0,68704,22
2023,9,23186235,12398262,43048,0,458,0,10495,131,134,0,71436,22
2023,10,20900852,11447961,43035,0,458,0,10499,131,132,0,74536,20
2023,11,17825849,8050500,42866,0,458,0,10384,131,134,0,76134,20
2023,12,19533950,7339487,42858,0,459,0,10384,131,137,0,78468,20
2024,1,8321102,1995619,42897,0,459,0,10500,131,130,0,79522,22
2022,8,2145497,2810472,6487,0,113,0,1476,100,29,0,4976,2
2022,9,2063385,3449799,6493,0,113,0,1478,100,29,0,4930,2
2022,10,2172475,3988021,6492,0,113,0,1480,100,29,0,5098,2
2022,11,2388000,3811850,6498,0,113,0,1484,100,29,0,5440,2
2022,12,2763019,3399256,6498,0,114,0,1487,101,34,0,5576,2
2023,1,2928198,4065502,6505,0,114,0,1480,99,29,0,5936,2
2023,2,2569976,3614559,6506,0,114,0,1480,99,29,0,6534,2
2023,3,2497805,3937543,6516,0,114,0,1480,100,29,0,6882,2
2023,4,2071179,3553797,6516,0,114,0,1480,100,29,0,7098,2
2023,5,2032373,3599319,6516,0,114,0,1480,100,29,0,7450,0
2023,6,2020946,3619957,6533,0,114,0,1488,99,31,0,7720,2
2023,7,2107798,3306100,6534,0,114,0,1488,99,32,0,8242,2
2023,8,2150530,2696596,6527,0,114,0,1489,99,32,0,8592,2
2023,9,2048595,3363474,6532,0,114,0,1493,99,30,0,8984,2
2023,10,2235989,4037438,6535,0,114,0,1501,98,29,0,9798,4
2023,11,2469543,3947406,6532,0,114,0,1503,97,29,0,11198,4
2023,12,3005911,3287784,6544,0,114,0,1503,97,34,0,11778,4
2024,1,1292596,1132961,6544,0,114,0,1503,97,29,0,12666,4
2022,8,10962625,10261502,30438,0,515,0,7359,297,295,0,34094,6
2022,9,10481104,10750633,30457,0,516,0,7368,297,292,0,33804,6
2022,10,10970594,12114539,30482,0,516,0,7371,297,289,0,34250,6
2022,11,11438186,11742952,30480,0,516,0,7351,297,291,0,35150,4
2022,12,12655345,11057190,30497,0,516,0,7353,298,298,0,35790,4
2023,1,13485153,11873342,30532,0,516,0,7348,298,280,0,37800,4
2023,2,11976723,10090241,30549,0,522,0,7354,298,282,0,39636,4
2023,3,11756491,9784194,30564,0,522,0,7360,298,283,0,41374,4
2023,4,10270090,8889810,30564,0,522,0,7360,298,283,0,43504,6
2023,5,10392071,9545294,30564,0,522,0,7360,298,283,0,44128,6
2023,6,10289289,9617896,30709,0,526,0,7443,299,268,0,45620,8
2023,7,10968652,10033099,30761,0,526,0,7459,301,267,0,47040,8
2023,8,11146805,10447246,30782,0,526,0,7472,302,262,0,47696,10
2023,9,10606386,11630324,30813,0,526,0,7469,304,257,0,50040,10
2023,10,11200474,12959595,30838,0,526,0,7478,304,260,0,51516,12
2023,11,11856210,12406079,30859,0,526,0,7463,305,269,0,52986,12
2023,12,13998802,10777719,30869,0,526,0,7462,305,270,0,54390,12
2024,1,6268358,4965990,30886,0,526,0,7473,305,249,0,56024,12
2022,8,3905741,3325844,8504,0,105,0,2979,80,85,0,15170,4
2022,9,3649007,3069659,8516,0,105,0,2980,80,83,0,14556,4
2022,10,3638084,2867736,8530,0,105,0,2981,80,82,0,15354,4
2022,11,3671178,2694947,8538,0,105,0,2983,79,90,0,15294,4
2022,12,4120454,2596422,8538,0,105,0,2980,79,91,0,15234,6
2023,1,4694397,2951437,8538,0,105,0,2980,79,85,0,14488,6
2023,2,4276928,2671583,8546,0,105,0,2989,79,82,0,15538,8
2023,3,4017302,2993349,8558,0,105,0,2987,79,81,0,14950,8
2023,4,3552637,2819726,8558,0,105,0,2987,79,81,0,16002,8
2023,5,3668721,3100087,8558,0,105,0,2987,79,81,0,15298,8
2023,6,3782654,3103713,8561,0,105,0,2988,85,80,0,15790,6
2023,7,4033450,3244950,8578,0,105,0,2997,85,83,0,15810,8
2023,8,4034709,3348605,8591,0,105,0,3000,89,82,0,15878,10
2023,9,3735373,3072891,8589,0,105,0,3002,89,80,0,15596,12
2023,10,3786770,3176736,8589,0,105,0,3007,89,82,0,15186,14
2023,11,3821449,2899516,8584,0,105,0,3013,95,85,0,15424,14
2023,12,4645158,2705302,8589,0,104,0,3008,102,85,0,15906,14
2024,1,2038775,956889,8599,0,104,0,3008,102,77,0,15868,16
2022,8,662622,50874,2859,0,90,0,733,14,10,0,3556,4
2022,9,590282,42037,2857,0,90,0,734,14,10,0,3346,4
2022,10,587773,43201,2855,0,90,0,735,14,10,0,3672,4
2022,11,581430,46766,2857,0,91,0,734,14,12,0,3780,4
2022,12,628520,51914,2857,0,91,0,734,14,13,0,3798,4
2023,1,662569,63881,2849,0,91,0,736,14,11,0,3788,4
2023,2,594007,55807,2850,0,91,0,737,14,12,0,3798,4
2023,3,584504,50710,2851,0,91,0,736,14,17,0,3914,4
2023,4,527756,43552,2851,0,91,0,736,14,17,0,4044,4
2023,5,538666,42362,2851,0,91,0,736,14,17,0,4092,4
2023,6,568313,49807,2849,0,91,0,737,14,12,0,4160,4
2023,7,674582,55707,2853,0,91,0,736,14,12,0,4208,4
2023,8,695362,52161,2856,0,91,0,736,14,14,0,4078,4
2023,9,593765,42441,2863,0,91,0,737,14,12,0,4276,4
2023,10,568446,41652,2864,0,91,0,735,14,12,0,4268,4
2023,11,566835,45830,2865,0,91,0,734,14,12,0,4266,4
2023,12,651357,55621,2862,0,91,0,736,14,12,0,4578,4
2024,1,282356,13186,2861,0,91,0,735,14,12,0,4680,4
2022,8,3076599,4883543,6642,0,102,0,1465,146,66,0,12890,2
2022,9,2738775,3900046,6638,0,102,0,1461,146,66,0,12844,2
2022,10,2674382,2915258,6641,0,102,0,1454,146,66,0,13240,2
2022,11,2637224,2481563,6642,0,102,0,1454,146,76,0,12764,2
2022,12,2958027,2242207,6653,0,102,0,1454,146,72,0,13212,2
2023,1,3300636,2637476,6668,0,102,0,1449,146,64,0,13604,2
