Concelho,Tipo de Serviço,Ano,Mes,Ordens Serviço Realizadas (#)
Abrantes,Configuração de EMI,2022,3,4
Abrantes,Configuração de EMI,2022,4,15
Abrantes,Configuração de EMI,2022,5,6
Abrantes,Configuração de EMI,2022,6,10
Abrantes,Configuração de EMI,2022,7,8
Abrantes,Configuração de EMI,2022,8,6
Abrantes,Configuração de EMI,2022,9,4
Abrantes,Configuração de EMI,2022,10,32
Abrantes,Configuração de EMI,2022,11,268
Abrantes,Configuração de EMI,2022,12,382
Abrantes,Configuração de EMI,2023,1,309
Abrantes,Configuração de EMI,2023,2,727
Abrantes,Configuração de EMI,2023,3,374
Abrantes,Configuração de EMI,2023,4,241
Abrantes,Configuração de EMI,2023,5,388
Abrantes,Configuração de EMI,2023,6,42
Abrantes,Configuração de EMI,2023,7,10
Abrantes,Configuração de EMI,2023,8,7
Abrantes,Configuração de EMI,2023,9,12
Abrantes,Configuração de EMI,2023,10,27
Abrantes,Configuração de EMI,2023,11,6
Abrantes,Configuração de EMI,2023,12,6
Abrantes,Configuração de EMI,2024,1,5
Abrantes,Configuração de EMI,2024,2,5
Abrantes,Configuração de EMI,2024,3,4
Abrantes,Outros,2022,5,1
Abrantes,Outros,2022,9,1
Abrantes,Outros,2022,11,1
Abrantes,REMOTE_ICP_CONFIGURATION,2022,12,1
Abrantes,REMOTE_ICP_CONFIGURATION,2023,1,4
Abrantes,REMOTE_ICP_CONFIGURATION,2023,3,9
Abrantes,REMOTE_ICP_CONFIGURATION,2023,6,1
Abrantes,REMOTE_ICP_CONFIGURATION,2023,7,2
Abrantes,REMOTE_ICP_CONFIGURATION,2023,8,29
Abrantes,REMOTE_ICP_CONFIGURATION,2024,1,1
Abrantes,Redução de Potência Contratada,2022,3,59
Abrantes,Redução de Potência Contratada,2022,4,121
Abrantes,Redução de Potência Contratada,2022,5,152
Abrantes,Redução de Potência Contratada,2022,6,164
Abrantes,Redução de Potência Contratada,2022,7,127
Abrantes,Redução de Potência Contratada,2022,8,173
Abrantes,Redução de Potência Contratada,2022,9,144
Abrantes,Redução de Potência Contratada,2022,10,135
Abrantes,Redução de Potência Contratada,2022,11,182
Abrantes,Redução de Potência Contratada,2022,12,123
Abrantes,Redução de Potência Contratada,2023,1,204
Abrantes,Redução de Potência Contratada,2023,2,163
Abrantes,Redução de Potência Contratada,2023,3,184
Abrantes,Redução de Potência Contratada,2023,4,177
Abrantes,Redução de Potência Contratada,2023,5,227
Abrantes,Redução de Potência Contratada,2023,6,199
Abrantes,Redução de Potência Contratada,2023,7,213
Abrantes,Redução de Potência Contratada,2023,8,177
Abrantes,Redução de Potência Contratada,2023,9,138
Abrantes,Redução de Potência Contratada,2023,10,179
Abrantes,Redução de Potência Contratada,2023,11,224
Abrantes,Redução de Potência Contratada,2023,12,131
Abrantes,Redução de Potência Contratada,2024,1,208
Abrantes,Redução de Potência Contratada,2024,2,103
Abrantes,Redução de Potência Contratada,2024,3,90
Abrantes,Reposição de Potência Contratada,2022,3,41
Abrantes,Reposição de Potência Contratada,2022,4,116
Abrantes,Reposição de Potência Contratada,2022,5,117
Abrantes,Reposição de Potência Contratada,2022,6,149
Abrantes,Reposição de Potência Contratada,2022,7,112
Abrantes,Reposição de Potência Contratada,2022,8,149
Abrantes,Reposição de Potência Contratada,2022,9,121
Abrantes,Reposição de Potência Contratada,2022,10,133
Abrantes,Reposição de Potência Contratada,2022,11,125
Abrantes,Reposição de Potência Contratada,2022,12,125
Abrantes,Reposição de Potência Contratada,2023,1,142
Abrantes,Reposição de Potência Contratada,2023,2,149
Abrantes,Reposição de Potência Contratada,2023,3,148
Abrantes,Reposição de Potência Contratada,2023,4,163
Abrantes,Reposição de Potência Contratada,2023,5,187
Abrantes,Reposição de Potência Contratada,2023,6,177
Abrantes,Reposição de Potência Contratada,2023,7,188
Abrantes,Reposição de Potência Contratada,2023,8,150
Abrantes,Reposição de Potência Contratada,2023,9,122
Abrantes,Reposição de Potência Contratada,2023,10,144
Abrantes,Reposição de Potência Contratada,2023,11,183
Abrantes,Reposição de Potência Contratada,2023,12,105
Abrantes,Reposição de Potência Contratada,2024,1,150
Abrantes,Reposição de Potência Contratada,2024,2,78
Abrantes,Reposição de Potência Contratada,2024,3,62
Abrantes,Servico Alteração Contractual,2022,3,26
Abrantes,Servico Alteração Contractual,2022,4,70
Abrantes,Servico Alteração Contractual,2022,5,78
Abrantes,Servico Alteração Contractual,2022,6,79
Abrantes,Servico Alteração Contractual,2022,7,53
Abrantes,Servico Alteração Contractual,2022,8,74
Abrantes,Servico Alteração Contractual,2022,9,69
Abrantes,Servico Alteração Contractual,2022,10,74
Abrantes,Servico Alteração Contractual,2022,11,91
Abrantes,Servico Alteração Contractual,2022,12,87
Abrantes,Servico Alteração Contractual,2023,1,96
Abrantes,Servico Alteração Contractual,2023,2,98
Abrantes,Servico Alteração Contractual,2023,3,88
Abrantes,Servico Alteração Contractual,2023,4,54
Abrantes,Servico Alteração Contractual,2023,5,68
Abrantes,Servico Alteração Contractual,2023,6,83
Abrantes,Servico Alteração Contractual,2023,7,104
Abrantes,Servico Alteração Contractual,2023,8,87
Abrantes,Servico Alteração Contractual,2023,9,79
Abrantes,Servico Alteração Contractual,2023,10,96
Abrantes,Servico Alteração Contractual,2023,11,103
Abrantes,Servico Alteração Contractual,2023,12,115
Abrantes,Servico Alteração Contractual,2024,1,117
