Concelho,Tipo de Serviço,Ano,Semestre,Ordens Serviço Realizadas (#)
Abrantes,Configuração de EMI,2022,1,35
Abrantes,Configuração de EMI,2022,2,700
Abrantes,Configuração de EMI,2023,1,2081
Abrantes,Configuração de EMI,2023,2,68
Abrantes,Configuração de EMI,2024,1,14
Abrantes,Outros,2022,1,1
Abrantes,Outros,2022,2,2
Abrantes,REMOTE_ICP_CONFIGURATION,2022,2,1
Abrantes,REMOTE_ICP_CONFIGURATION,2023,1,14
Abrantes,REMOTE_ICP_CONFIGURATION,2023,2,31
Abrantes,REMOTE_ICP_CONFIGURATION,2024,1,1
Abrantes,Redução de Potência Contratada,2022,1,496
Abrantes,Redução de Potência Contratada,2022,2,884
Abrantes,Redução de Potência Contratada,2023,1,1154
Abrantes,Redução de Potência Contratada,2023,2,1062
Abrantes,Redução de Potência Contratada,2024,1,401
Abrantes,Reposição de Potência Contratada,2022,1,423
Abrantes,Reposição de Potência Contratada,2022,2,765
Abrantes,Reposição de Potência Contratada,2023,1,966
Abrantes,Reposição de Potência Contratada,2023,2,892
Abrantes,Reposição de Potência Contratada,2024,1,290
Abrantes,Servico Alteração Contractual,2022,1,253
Abrantes,Servico Alteração Contractual,2022,2,448
Abrantes,Servico Alteração Contractual,2023,1,487
Abrantes,Servico Alteração Contractual,2023,2,584
Abrantes,Servico Alteração Contractual,2024,1,243
Abrantes,Serviço de Corte e Re-Ligação,2022,1,154
Abrantes,Serviço de Corte e Re-Ligação,2022,2,239
Abrantes,Serviço de Corte e Re-Ligação,2023,1,316
Abrantes,Serviço de Corte e Re-Ligação,2023,2,279
Abrantes,Serviço de Corte e Re-Ligação,2024,1,69
Aguiar da Beira,Configuração de EMI,2022,1,1
Aguiar da Beira,Configuração de EMI,2022,2,224
Aguiar da Beira,Configuração de EMI,2023,1,455
Aguiar da Beira,Configuração de EMI,2023,2,19
Aguiar da Beira,Configuração de EMI,2024,1,12
Aguiar da Beira,Outros,2022,1,1
Aguiar da Beira,Outros,2022,2,1
Aguiar da Beira,Outros,2023,2,1
Aguiar da Beira,REMOTE_ICP_CONFIGURATION,2022,2,3
Aguiar da Beira,REMOTE_ICP_CONFIGURATION,2023,1,6
Aguiar da Beira,REMOTE_ICP_CONFIGURATION,2023,2,2
Aguiar da Beira,REMOTE_ICP_CONFIGURATION,2024,1,1
Aguiar da Beira,Redução de Potência Contratada,2022,1,39
Aguiar da Beira,Redução de Potência Contratada,2022,2,69
Aguiar da Beira,Redução de Potência Contratada,2023,1,101
Aguiar da Beira,Redução de Potência Contratada,2023,2,114
Aguiar da Beira,Redução de Potência Contratada,2024,1,43
Aguiar da Beira,Reposição de Potência Contratada,2022,1,32
Aguiar da Beira,Reposição de Potência Contratada,2022,2,50
Aguiar da Beira,Reposição de Potência Contratada,2023,1,72
Aguiar da Beira,Reposição de Potência Contratada,2023,2,81
Aguiar da Beira,Reposição de Potência Contratada,2024,1,33
Aguiar da Beira,Servico Alteração Contractual,2022,1,24
Aguiar da Beira,Servico Alteração Contractual,2022,2,47
Aguiar da Beira,Servico Alteração Contractual,2023,1,68
Aguiar da Beira,Servico Alteração Contractual,2023,2,103
Aguiar da Beira,Servico Alteração Contractual,2024,1,27
Aguiar da Beira,Serviço de Corte e Re-Ligação,2022,1,28
Aguiar da Beira,Serviço de Corte e Re-Ligação,2022,2,32
Aguiar da Beira,Serviço de Corte e Re-Ligação,2023,1,49
Aguiar da Beira,Serviço de Corte e Re-Ligação,2023,2,54
Aguiar da Beira,Serviço de Corte e Re-Ligação,2024,1,15
Alandroal,Configuração de EMI,2022,1,7
Alandroal,Configuração de EMI,2022,2,128
Alandroal,Configuração de EMI,2023,1,253
Alandroal,Configuração de EMI,2023,2,6
Alandroal,Configuração de EMI,2024,1,4
Alandroal,Outros,2023,1,1
Alandroal,REMOTE_ICP_CONFIGURATION,2023,2,1
Alandroal,Redução de Potência Contratada,2022,1,79
Alandroal,Redução de Potência Contratada,2022,2,98
Alandroal,Redução de Potência Contratada,2023,1,113
Alandroal,Redução de Potência Contratada,2023,2,123
Alandroal,Redução de Potência Contratada,2024,1,51
Alandroal,Reposição de Potência Contratada,2022,1,69
Alandroal,Reposição de Potência Contratada,2022,2,85
Alandroal,Reposição de Potência Contratada,2023,1,101
Alandroal,Reposição de Potência Contratada,2023,2,101
Alandroal,Reposição de Potência Contratada,2024,1,34
Alandroal,Servico Alteração Contractual,2022,1,22
Alandroal,Servico Alteração Contractual,2022,2,54
Alandroal,Servico Alteração Contractual,2023,1,46
Alandroal,Servico Alteração Contractual,2023,2,46
Alandroal,Servico Alteração Contractual,2024,1,18
Alandroal,Serviço de Corte e Re-Ligação,2022,1,22
Alandroal,Serviço de Corte e Re-Ligação,2022,2,29
Alandroal,Serviço de Corte e Re-Ligação,2023,1,54
Alandroal,Serviço de Corte e Re-Ligação,2023,2,47
Alandroal,Serviço de Corte e Re-Ligação,2024,1,11
Albergaria-a-Velha,Configuração de EMI,2022,1,21
Albergaria-a-Velha,Configuração de EMI,2022,2,191
Albergaria-a-Velha,Configuração de EMI,2023,1,977
Albergaria-a-Velha,Configuração de EMI,2023,2,62
Albergaria-a-Velha,Configuração de EMI,2024,1,15
Albergaria-a-Velha,Outros,2023,1,2
Albergaria-a-Velha,REMOTE_ICP_CONFIGURATION,2022,2,1
Albergaria-a-Velha,REMOTE_ICP_CONFIGURATION,2023,1,23
Albergaria-a-Velha,REMOTE_ICP_CONFIGURATION,2023,2,70
Albergaria-a-Velha,REMOTE_ICP_CONFIGURATION,2024,1,15
Albergaria-a-Velha,Redução de Potência Contratada,2022,1,142
Albergaria-a-Velha,Redução de Potência Contratada,2022,2,238
Albergaria-a-Velha,Redução de Potência Contratada,2023,1,402
Albergaria-a-Velha,Redução de Potência Contratada,2023,2,484
Albergaria-a-Velha,Redução de Potência Contratada,2024,1,165
Albergaria-a-Velha,Reposição de Potência Contratada,2022,1,107
Albergaria-a-Velha,Reposição de Potência Contratada,2022,2,195
Albergaria-a-Velha,Reposição de Potência Contratada,2023,1,298
Albergaria-a-Velha,Reposição de Potência Contratada,2023,2,358
Albergaria-a-Velha,Reposição de Potência Contratada,2024,1,124
Albergaria-a-Velha,Servico Alteração Contractual,2022,1,103
Albergaria-a-Velha,Servico Alteração Contractual,2022,2,138
Albergaria-a-Velha,Servico Alteração Contractual,2023,1,200
Albergaria-a-Velha,Servico Alteração Contractual,2023,2,288
Albergaria-a-Velha,Servico Alteração Contractual,2024,1,131
Albergaria-a-Velha,Serviço de Corte e Re-Ligação,2022,1,44
Albergaria-a-Velha,Serviço de Corte e Re-Ligação,2022,2,46
Albergaria-a-Velha,Serviço de Corte e Re-Ligação,2023,1,103
Albergaria-a-Velha,Serviço de Corte e Re-Ligação,2023,2,104
Albergaria-a-Velha,Serviço de Corte e Re-Ligação,2024,1,45
Albufeira,Configuração de EMI,2022,1,41
Albufeira,Configuração de EMI,2022,2,1823
Albufeira,Configuração de EMI,2023,1,3740
Albufeira,Configuração de EMI,2023,2,84
Albufeira,Configuração de EMI,2024,1,25
Albufeira,Outros,2022,2,1
Albufeira,Outros,2023,1,3
Albufeira,Outros,2023,2,4
Albufeira,REMOTE_ICP_CONFIGURATION,2022,2,9
Albufeira,REMOTE_ICP_CONFIGURATION,2023,1,74
Albufeira,REMOTE_ICP_CONFIGURATION,2023,2,25
Albufeira,REMOTE_ICP_CONFIGURATION,2024,1,3
Albufeira,Redução de Potência Contratada,2022,1,647
Albufeira,Redução de Potência Contratada,2022,2,1276
Albufeira,Redução de Potência Contratada,2023,1,1625
Albufeira,Redução de Potência Contratada,2023,2,1596
Albufeira,Redução de Potência Contratada,2024,1,682
Albufeira,Reposição de Potência Contratada,2022,1,514
Albufeira,Reposição de Potência Contratada,2022,2,986
Albufeira,Reposição de Potência Contratada,2023,1,1364
Albufeira,Reposição de Potência Contratada,2023,2,1283
Albufeira,Reposição de Potência Contratada,2024,1,507
Albufeira,Servico Alteração Contractual,2022,1,743
Albufeira,Servico Alteração Contractual,2022,2,1369
Albufeira,Servico Alteração Contractual,2023,1,1294
Albufeira,Servico Alteração Contractual,2023,2,1267
Albufeira,Servico Alteração Contractual,2024,1,585
Albufeira,Serviço de Corte e Re-Ligação,2022,1,282
Albufeira,Serviço de Corte e Re-Ligação,2022,2,412
Albufeira,Serviço de Corte e Re-Ligação,2023,1,597
Albufeira,Serviço de Corte e Re-Ligação,2023,2,486
Albufeira,Serviço de Corte e Re-Ligação,2024,1,175
Alcanena,Configuração de EMI,2022,1,10
Alcanena,Configuração de EMI,2022,2,175
Alcanena,Configuração de EMI,2023,1,698
Alcanena,Configuração de EMI,2023,2,24
Alcanena,Configuração de EMI,2024,1,4
Alcanena,Outros,2022,2,1
Alcanena,Outros,2023,1,1
Alcanena,REMOTE_ICP_CONFIGURATION,2023,1,8
Alcanena,REMOTE_ICP_CONFIGURATION,2023,2,13
Alcanena,Redução de Potência Contratada,2022,1,93
