ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
2022,8,3349844.95 - 9260857.23,0,134,0,48,0,160
2022,9,3349844.95 - 9260857.23,0,134,0,48,0,160
2022,10,3349844.95 - 9260857.23,0,134,0,48,0,160
2022,11,3349844.95 - 9260857.23,0,134,0,48,0,160
2022,12,3349844.95 - 9260857.23,0,134,0,48,0,160
2023,1,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,2,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,3,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,4,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,5,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,6,3349844.95 - 9260857.23,0,133,0,48,0,160
2023,7,3349844.95 - 9260857.23,0,133,0,48,0,160
2023,8,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,9,3349844.95 - 9260857.23,0,132,0,48,0,160
2023,10,3349844.95 - 9260857.23,0,131,0,48,0,160
2023,11,3349844.95 - 9260857.23,0,131,0,48,0,160
2023,12,3349844.95 - 9260857.23,0,130,0,48,0,160
2022,8,0.00 - 3349844.95,0,16,0,26,3,42
2022,9,0.00 - 3349844.95,0,16,0,26,3,42
2022,10,0.00 - 3349844.95,0,16,0,26,3,42
2022,11,0.00 - 3349844.95,0,16,0,26,3,42
2022,12,0.00 - 3349844.95,0,16,0,26,3,42
2023,1,0.00 - 3349844.95,0,16,0,26,3,42
2023,2,0.00 - 3349844.95,0,16,0,26,3,42
2023,3,0.00 - 3349844.95,0,16,0,26,3,42
2023,4,0.00 - 3349844.95,0,16,0,26,3,42
2023,5,0.00 - 3349844.95,0,16,0,26,3,42
2023,6,0.00 - 3349844.95,0,16,0,26,3,42
2023,7,0.00 - 3349844.95,0,16,0,26,3,42
2023,8,0.00 - 3349844.95,0,16,0,26,3,42
2023,9,0.00 - 3349844.95,0,16,0,26,3,42
2023,10,0.00 - 3349844.95,0,16,0,26,3,42
2023,11,0.00 - 3349844.95,0,16,0,26,3,42
2023,12,0.00 - 3349844.95,0,16,0,26,3,42
2022,8,0.00 - 3349844.95,0,39,0,9,4,40
2022,9,0.00 - 3349844.95,0,39,0,9,4,40
2022,10,0.00 - 3349844.95,0,39,0,9,4,40
2022,11,0.00 - 3349844.95,0,39,0,9,4,40
2022,12,0.00 - 3349844.95,0,39,0,9,4,40
2023,1,0.00 - 3349844.95,0,38,0,9,4,40
2023,2,0.00 - 3349844.95,0,38,0,9,4,40
2023,3,0.00 - 3349844.95,0,38,0,9,4,40
2023,4,0.00 - 3349844.95,0,38,0,9,4,40
2023,5,0.00 - 3349844.95,0,38,0,9,4,40
2023,6,0.00 - 3349844.95,0,38,0,9,4,40
2023,7,0.00 - 3349844.95,0,38,0,9,4,40
2023,8,0.00 - 3349844.95,0,38,0,9,4,40
