ano,mes,energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao
2022,8,5891542,0,134,0
2022,9,6159115,0,134,0
2022,10,6360625,0,134,0
2022,11,5961164,0,134,0
2022,12,5272178,0,134,0
2023,1,6615131,0,132,0
2023,2,5674410,0,132,0
2023,3,6187526,0,132,0
2023,4,5652034,0,132,0
2023,5,5924078,0,132,0
2023,6,5252440,0,133,0
2023,7,5906508,0,133,0
2023,8,5357597,0,132,0
2023,9,5680322,0,132,0
2023,10,6098404,0,131,0
2023,11,6292809,0,131,0
2023,12,5732598,0,130,0
2024,1,2353635,0,129,0
2022,8,246588,0,16,0
2022,9,215850,0,16,0
2022,10,228321,0,16,0
2022,11,239289,0,16,0
2022,12,257138,0,16,0
2023,1,225363,0,16,0
2023,2,195666,0,16,0
2023,3,197758,0,16,0
2023,4,174455,0,16,0
2023,5,174014,0,16,0
2023,6,171164,0,16,0
2023,7,184719,0,16,0
2023,8,202506,0,16,0
2023,9,188051,0,16,0
2023,10,210530,0,16,0
2023,11,229750,0,16,0
2023,12,234395,0,16,0
2024,1,78264,0,16,0
2022,8,621877,0,39,0
2022,9,336901,0,39,0
2022,10,274348,0,39,0
2022,11,170463,0,39,0
2022,12,140352,0,39,0
2023,1,146673,0,38,0
2023,2,146899,0,38,0
2023,3,219936,0,38,0
2023,4,361439,0,38,0
2023,5,469632,0,38,0
2023,6,593425,0,38,0
2023,7,754480,0,38,0
2023,8,626678,0,38,0
2023,9,355796,0,38,0
2023,10,263041,0,38,0
2023,11,166068,0,38,0
2023,12,153926,0,38,0
2024,1,81826,0,38,0
2022,8,8327918,0,91,0
2022,9,13000726,0,91,0
2022,10,12996088,0,91,0
2022,11,13165868,0,92,0
2022,12,11079849,0,92,0
2023,1,11099903,0,92,0
2023,2,12307057,0,92,0
2023,3,13463007,0,92,0
2023,4,12027150,0,92,0
2023,5,11546733,0,92,0
2023,6,11218319,0,91,0
2023,7,11495667,0,91,0
2023,8,7835683,0,91,0
2023,9,11319493,0,91,0
2023,10,12653544,0,91,0
2023,11,11811530,0,91,0
2023,12,8871029,0,91,0
2024,1,2318298,0,91,0
2022,8,13673864,0,124,0
2022,9,11752874,0,126,0
2022,10,10701255,0,125,0
2022,11,7788278,0,125,0
2022,12,6823147,0,126,0
2023,1,6641957,0,127,0
2023,2,6555221,0,128,0
2023,3,8322189,0,129,0
2023,4,9596486,0,129,0
2023,5,10724394,0,129,0
2023,6,11970546,0,130,0
2023,7,14138246,0,131,0
2023,8,14733998,0,131,0
2023,9,12398262,0,131,0
2023,10,11447961,0,131,0
2023,11,8050500,0,131,0
2023,12,7339487,0,131,0
2024,1,1995619,0,131,0
2022,8,2810472,0,100,0
2022,9,3449799,0,100,0
2022,10,3988021,0,100,0
2022,11,3811850,0,100,0
2022,12,3399256,0,101,0
2023,1,4065502,0,99,0
2023,2,3614559,0,99,0
2023,3,3937543,0,100,0
2023,4,3553797,0,100,0
2023,5,3599319,0,100,0
2023,6,3619957,0,99,0
2023,7,3306100,0,99,0
2023,8,2696596,0,99,0
2023,9,3363474,0,99,0
2023,10,4037438,0,98,0
2023,11,3947406,0,97,0
2023,12,3287784,0,97,0
2024,1,1132961,0,97,0
2022,8,10261502,0,297,0
2022,9,10750633,0,297,0
2022,10,12114539,0,297,0
2022,11,11742952,0,297,0
2022,12,11057190,0,298,0
2023,1,11873342,0,298,0
2023,2,10090241,0,298,0
2023,3,9784194,0,298,0
2023,4,8889810,0,298,0
2023,5,9545294,0,298,0
2023,6,9617896,0,299,0
2023,7,10033099,0,301,0
2023,8,10447246,0,302,0
2023,9,11630324,0,304,0
2023,10,12959595,0,304,0
2023,11,12406079,0,305,0
2023,12,10777719,0,305,0
2024,1,4965990,0,305,0
2022,8,3325844,0,80,0
2022,9,3069659,0,80,0
2022,10,2867736,0,80,0
2022,11,2694947,0,79,0
2022,12,2596422,0,79,0
2023,1,2951437,0,79,0
2023,2,2671583,0,79,0
2023,3,2993349,0,79,0
2023,4,2819726,0,79,0
2023,5,3100087,0,79,0
2023,6,3103713,0,85,0
2023,7,3244950,0,85,0
2023,8,3348605,0,89,0
2023,9,3072891,0,89,0
2023,10,3176736,0,89,0
2023,11,2899516,0,95,0
2023,12,2705302,0,102,0
2024,1,956889,0,102,0
2022,8,50874,0,14,0
2022,9,42037,0,14,0
2022,10,43201,0,14,0
2022,11,46766,0,14,0
2022,12,51914,0,14,0
2023,1,63881,0,14,0
2023,2,55807,0,14,0
2023,3,50710,0,14,0
2023,4,43552,0,14,0
2023,5,42362,0,14,0
2023,6,49807,0,14,0
2023,7,55707,0,14,0
2023,8,52161,0,14,0
2023,9,42441,0,14,0
2023,10,41652,0,14,0
2023,11,45830,0,14,0
2023,12,55621,0,14,0
2024,1,13186,0,14,0
2022,8,4883543,0,146,0
2022,9,3900046,0,146,0
2022,10,2915258,0,146,0
2022,11,2481563,0,146,0
2022,12,2242207,0,146,0
2023,1,2637476,0,146,0
2023,2,2438315,0,147,0
2023,3,2789174,0,147,0
2023,4,3105930,0,147,0
2023,5,3378604,0,147,0
2023,6,3489903,0,148,0
2023,7,4407698,0,149,0
2023,8,5269836,0,150,0
2023,9,4622671,0,150,0
2023,10,3147809,0,148,0
2023,11,2649113,0,148,0
2023,12,2602765,0,148,0
2024,1,438694,0,148,0
2022,8,12520614,0,181,0
2022,9,12861812,0,180,0
2022,10,12940024,0,180,0
2022,11,12482668,0,179,0
2022,12,12564698,0,179,0
2023,1,13274643,0,182,0
2023,2,11447775,0,181,0
2023,3,13196064,0,182,0
2023,4,12125816,0,182,0
2023,5,12742307,0,182,0
2023,6,12944518,0,183,0
2023,7,14516812,0,183,0
2023,8,14094080,0,184,0
2023,9,14668338,0,184,0
2023,10,15084669,0,184,0
2023,11,14761267,0,184,0
2023,12,13349544,0,185,0
2024,1,2460901,0,184,0
2022,8,88363,0,16,0
2022,9,103964,0,16,0
2022,10,112291,0,16,0
2022,11,132017,0,16,0
2022,12,152452,0,17,0
2023,1,125304,0,17,0
2023,2,103167,0,16,0
2023,3,110029,0,16,0
2023,4,89077,0,16,0
2023,5,83498,0,16,0
2023,6,79414,0,16,0
2023,7,76701,0,16,0
2023,8,74596,0,16,0
2023,9,82621,0,16,0
2023,10,103085,0,16,0
2023,11,167598,0,16,0
2023,12,218642,0,16,0
2024,1,46752,0,16,0
2022,8,853237,0,45,0
2022,9,1006906,0,45,0
2022,10,675188,0,45,0
2022,11,526017,0,45,0
2022,12,501989,0,45,0
2023,1,536596,0,46,0
2023,2,465619,0,46,0
2023,3,509682,0,46,0
2023,4,482878,0,46,0
2023,5,545522,0,46,0
2023,6,590486,0,46,0
2023,7,669772,0,46,0
2023,8,874761,0,46,0
2023,9,1025857,0,46,0
2023,10,676013,0,46,0
2023,11,544703,0,46,0
2023,12,564895,0,46,0
2024,1,118685,0,46,0
2022,8,240255,0,18,0
2022,9,216090,0,18,0
2022,10,222572,0,19,0
2022,11,210823,0,19,0
2022,12,210975,0,19,0
2023,1,174078,0,19,0
2023,2,191019,0,19,0
2023,3,214491,0,19,0
2023,4,213575,0,19,0
2023,5,220522,0,19,0
2023,6,223662,0,19,0
2023,7,242211,0,19,0
2023,8,268408,0,19,0
2023,9,241027,0,19,0
2023,10,240595,0,20,0
2023,11,223689,0,20,0
2023,12,235233,0,20,0
2024,1,46201,0,20,0
2022,8,14982740,0,61,0
2022,9,15586892,0,61,0
2022,10,14999179,0,61,0
2022,11,15339113,0,61,0
2022,12,14563686,0,61,0
2023,1,14887996,0,61,0
2023,2,14382109,0,61,0
2023,3,16253851,0,61,0
2023,4,16913354,0,61,0
2023,5,17990129,0,61,0
2023,6,13325907,0,63,0
2023,7,18656982,0,64,0
2023,8,17363158,0,66,0
2023,9,15431437,0,66,0
2023,10,15601914,0,66,0
2023,11,14139751,0,66,0
2023,12,14280745,0,66,0
2024,1,199708,0,66,0
2022,8,15233759,0,130,0
2022,9,13465518,0,130,0
2022,10,13129118,0,130,0
2022,11,12854437,0,132,0
2022,12,14042057,0,133,0
2023,1,14113759,0,133,0
2023,2,13154489,0,134,0
2023,3,13608758,0,132,0
2023,4,12561456,0,132,0
2023,5,13780463,0,132,0
2023,6,13643200,0,131,0
2023,7,14012158,0,131,0
2023,8,15129317,0,131,0
2023,9,13236820,0,131,0
2023,10,12838982,0,131,0
2023,11,11196092,0,130,0
2023,12,14037336,0,130,0
2024,1,2144984,0,130,0
2022,8,199005,0,37,0
2022,9,166816,0,37,0
2022,10,178631,0,37,0
2022,11,196239,0,37,0
2022,12,205717,0,37,0
2023,1,211282,0,37,0
2023,2,184682,0,37,0
2023,3,174068,0,37,0
2023,4,163121,0,37,0
2023,5,176946,0,37,0
2023,6,181261,0,37,0
2023,7,199573,0,37,0
2023,8,198488,0,37,0
2023,9,171614,0,37,0
2023,10,186567,0,37,0
2023,11,178513,0,37,0
2023,12,180035,0,37,0
2024,1,42606,0,37,0
2022,8,3429306,0,66,0
2022,9,2650660,0,66,0
2022,10,1807243,0,66,0
2022,11,1552027,0,66,0
2022,12,1418894,0,66,0
2023,1,1505746,0,66,0
2023,2,1376174,0,66,0
2023,3,1577489,0,66,0
2023,4,1580686,0,66,0
2023,5,2038844,0,66,0
2023,6,2328393,0,67,0
2023,7,2916900,0,67,0
2023,8,3459139,0,66,0
2023,9,2568001,0,66,0
2023,10,1730180,0,66,0
2023,11,1486721,0,66,0
2023,12,1439763,0,66,0
2024,1,317563,0,66,0
2022,8,313319,0,20,0
2022,9,282811,0,20,0
2022,10,274532,0,20,0
2022,11,262509,0,20,0
2022,12,269561,0,20,0
2023,1,270797,0,20,0
2023,2,246768,0,20,0
2023,3,260507,0,20,0
2023,4,275392,0,20,0
2023,5,290012,0,20,0
2023,6,295585,0,20,0
2023,7,332950,0,19,0
2023,8,348028,0,19,0
2023,9,290181,0,19,0
2023,10,288351,0,19,0
2023,11,260568,0,19,0
2023,12,274256,0,19,0
2024,1,91211,0,19,0
2022,8,3013042,0,50,0
2022,9,2810578,0,50,0
2022,10,1934622,0,51,0
2022,11,1999890,0,51,0
2022,12,2018465,0,51,0
2023,1,1677719,0,51,0
2023,2,956977,0,51,0
2023,3,1104206,0,50,0
2023,4,1291676,0,50,0
2023,5,2274726,0,50,0
2023,6,2394656,0,50,0
2023,7,2631148,0,50,0
2023,8,2881766,0,51,0
2023,9,2503724,0,51,0
2023,10,2006964,0,51,0
2023,11,2079852,0,51,0
2023,12,1710670,0,51,0
2024,1,209866,0,52,0
2022,8,335418,0,27,0
2022,9,284430,0,27,0
2022,10,268508,0,27,0
2022,11,278901,0,27,0
2022,12,351229,0,27,0
2023,1,274850,0,27,0
2023,2,279454,0,27,0
2023,3,307959,0,27,0
