energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
5891542,0,134,0,48,0,160
6159115,0,134,0,48,0,160
6360625,0,134,0,48,0,160
5961164,0,134,0,48,0,160
5272178,0,134,0,48,0,160
6615131,0,132,0,48,0,160
5674410,0,132,0,48,0,160
6187526,0,132,0,48,0,160
5652034,0,132,0,48,0,160
5924078,0,132,0,48,0,160
5252440,0,133,0,48,0,160
5906508,0,133,0,48,0,160
5357597,0,132,0,48,0,160
5680322,0,132,0,48,0,160
6098404,0,131,0,48,0,160
6292665,0,131,0,48,0,160
5739963,0,130,0,48,0,160
246588,0,16,0,26,3,42
215850,0,16,0,26,3,42
228321,0,16,0,26,3,42
239289,0,16,0,26,3,42
257138,0,16,0,26,3,42
225363,0,16,0,26,3,42
195666,0,16,0,26,3,42
197758,0,16,0,26,3,42
174455,0,16,0,26,3,42
174014,0,16,0,26,3,42
171164,0,16,0,26,3,42
184719,0,16,0,26,3,42
202506,0,16,0,26,3,42
188051,0,16,0,26,3,42
210530,0,16,0,26,3,42
229750,0,16,0,26,3,42
234395,0,16,0,26,3,42
621877,0,39,0,9,4,40
336901,0,39,0,9,4,40
274348,0,39,0,9,4,40
170463,0,39,0,9,4,40
140352,0,39,0,9,4,40
146673,0,38,0,9,4,40
146899,0,38,0,9,4,40
219936,0,38,0,9,4,40
361439,0,38,0,9,4,40
469632,0,38,0,9,4,40
593425,0,38,0,9,4,40
754480,0,38,0,9,4,40
626678,0,38,0,9,4,40
355796,0,38,0,9,4,40
263041,0,38,0,9,4,40
166068,0,38,0,9,4,40
156068,0,38,0,9,4,40
8327918,0,91,0,159,1,269
13000726,0,91,0,159,1,269
12996088,0,91,0,159,1,269
13165868,0,92,0,159,1,269
11079849,0,92,0,159,1,269
11099903,0,92,0,159,1,269
12307057,0,92,0,159,1,269
13463007,0,92,0,159,1,269
12027150,0,92,0,159,1,269
11546733,0,92,0,159,1,269
11218319,0,91,0,159,1,269
11495667,0,91,0,159,1,269
7835683,0,91,0,159,1,269
11319493,0,91,0,159,1,269
12653544,0,91,0,159,1,269
11811530,0,91,0,159,1,269
8871029,0,91,0,159,1,269
13673864,0,124,0,320,1,137
11752874,0,126,0,320,1,137
10701255,0,125,0,320,1,137
7788278,0,125,0,320,1,137
6823147,0,126,0,320,1,137
6641957,0,127,0,320,1,137
6555221,0,128,0,320,1,137
8322189,0,129,0,320,1,137
9596486,0,129,0,320,1,137
10724394,0,129,0,320,1,137
11970546,0,130,0,320,1,137
14138246,0,131,0,320,1,137
14733998,0,131,0,320,1,137
12398262,0,131,0,320,1,137
11447961,0,131,0,320,1,137
8050498,0,131,0,320,1,137
7181648,0,131,0,320,1,137
2810472,0,100,0,98,1,182
3449799,0,100,0,98,1,182
3988021,0,100,0,98,1,182
3811850,0,100,0,98,1,182
3399256,0,101,0,98,1,182
4065502,0,99,0,98,1,182
3614559,0,99,0,98,1,182
3937543,0,100,0,98,1,182
3553797,0,100,0,98,1,182
3599319,0,100,0,98,1,182
3619957,0,99,0,98,1,182
3306100,0,99,0,98,1,182
2696596,0,99,0,98,1,182
3363474,0,99,0,98,1,182
4037711,0,98,0,98,1,182
3946909,0,97,0,98,1,182
3280559,0,97,0,98,1,182
10261502,0,297,0,137,36,667
