energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
5908716,20260,293,4318,83,22194,2,48
5319528,20270,293,4311,81,22596,2,48
5431060,20280,293,4302,81,23126,2,48
5845742,20291,293,4308,80,23938,2,48
6780793,20297,294,4312,82,24420,2,48
7371280,20298,294,4309,82,26668,2,48
6508911,20288,294,4310,113,26998,2,48
6078748,20280,294,4316,75,27946,2,48
5176041,20280,294,4316,75,28614,2,48
5243476,20280,294,4316,75,28388,2,48
5393047,20329,295,4346,77,29668,4,48
5895124,20344,295,4341,73,29358,4,48
5991535,20344,296,4338,72,29630,4,48
5378651,20344,296,4344,70,29710,4,48
5650166,20372,296,4351,69,30914,4,48
6196875,20382,296,4348,69,31706,4,48
7719291,20379,296,4354,68,32920,4,48
7518534,20372,296,4350,68,34146,6,48
2471058,20353,296,4349,98,34956,8,48
1175081,3782,92,1000,14,3790,2,26
1020159,3784,92,999,16,3832,2,26
1040276,3784,92,998,16,4192,2,26
1086080,3779,92,999,16,4976,2,26
1167576,3782,93,1001,16,5098,2,26
1178492,3788,95,998,15,5322,2,26
1016374,3793,95,996,15,5942,2,26
1062276,3794,95,997,14,5818,4,26
950221,3794,95,997,14,5990,4,26
967925,3794,95,997,14,5838,4,26
992994,3802,95,1007,13,6604,4,26
1146291,3806,95,1006,14,6980,4,26
1190658,3813,95,1005,11,7136,4,26
1023007,3811,95,1001,10,7028,4,26
1083710,3811,95,1002,11,7338,4,26
1141016,3806,95,1001,15,7602,4,26
1271396,3807,96,998,14,7944,4,26
1216944,3805,96,996,9,8254,4,26
377938,3810,96,998,9,8612,4,26
1474938,3294,45,738,16,2796,2,9
1204931,3292,45,739,13,2806,2,9
1114366,3288,45,741,14,2980,2,9
1099465,3287,45,742,12,3148,2,9
1242777,3279,45,743,13,3396,2,9
1353131,3285,45,744,12,3430,2,9
1203387,3291,45,742,12,3378,2,9
1212625,3291,45,744,12,3654,2,9
1121159,3291,45,744,12,3750,2,9
1188754,3291,45,744,12,3874,2,9
1293462,3288,45,749,13,3876,2,9
1479313,3289,45,755,13,3882,2,9
1446237,3291,45,756,18,3878,2,9
1210895,3295,45,754,14,4240,2,9
1140986,3293,45,752,13,4302,2,9
1157512,3292,45,750,13,4528,2,9
1367116,3294,45,749,15,4666,2,9
1355369,3294,45,750,11,5080,2,9
448792,3288,45,750,12,5116,2,9
3805085,11240,178,2504,124,7070,2,159
3924970,11239,178,2509,122,6916,2,159
4753495,11257,178,2504,118,7260,2,159
4394329,11270,178,2505,117,7316,2,159
4758768,11283,178,2504,117,7776,4,159
4903214,11301,178,2506,114,7828,4,159
4247909,11309,178,2509,114,8112,4,159
4322420,11318,178,2516,112,9652,4,159
3821484,11318,178,2516,112,9964,4,159
3825224,11318,178,2516,112,12348,4,159
3765934,11340,178,2521,111,13184,4,159
3861949,11352,178,2526,111,13548,4,159
3893563,11357,178,2527,104,14216,2,159
3818281,11369,178,2528,103,16406,4,159
4234533,11368,178,2531,102,16470,4,159
4563933,11378,178,2533,100,16590,4,159
5206773,11387,178,2535,98,17574,2,159
5200597,11388,178,2527,95,17870,4,159
1770126,11393,178,2537,90,18830,4,159
25090291,42621,455,10407,137,50008,22,320
21582414,42624,455,10413,134,49540,22,320
19741882,42602,455,10366,135,52828,20,320
16891650,42408,455,10256,134,54766,22,320
17307821,42448,455,10148,136,54602,22,320
18791070,42450,455,10155,130,55344,22,320
17932315,42485,457,10198,130,57556,22,320
18913013,42714,457,10382,130,59482,22,320
18700899,42714,457,10381,130,62030,20,320
20272168,42714,457,10381,130,64030,22,320
22376009,42966,458,10471,132,65194,22,320
26919676,43028,458,10490,129,68000,22,320
27976836,43051,458,10490,135,68704,22,320
23207996,43048,458,10495,134,71436,22,320
20919854,43035,458,10499,132,74536,20,320
17746779,42866,458,10384,134,76134,20,320
19444778,42858,459,10384,137,78468,20,320
19433850,42897,459,10500,130,79522,22,320
6725424,42897,459,10519,129,81502,24,320
2146396,6487,113,1476,29,4976,2,98
2063272,6493,113,1478,29,4930,2,98
2172494,6492,113,1480,29,5098,2,98
2388084,6498,113,1484,29,5440,2,98
2762983,6498,114,1487,34,5576,2,98
2928156,6505,114,1480,29,5936,2,98
2569963,6506,114,1480,29,6534,2,98
2497227,6516,114,1480,29,6882,2,98
2070420,6516,114,1480,29,7098,2,98
2032625,6516,114,1480,29,7450,0,98
2021095,6533,114,1488,31,7720,2,98
2110068,6534,114,1488,32,8242,2,98
2153380,6527,114,1489,32,8592,2,98
2063624,6532,114,1493,30,8984,2,98
2259207,6535,114,1501,29,9798,4,98
2507208,6532,114,1503,29,11198,4,98
3063576,6544,114,1503,34,11778,4,98
3022449,6544,114,1503,29,12666,4,98
940955,6550,115,1502,27,12980,4,98
10967753,30438,515,7359,295,34094,6,137
10495665,30457,516,7368,292,33804,6,137
10986606,30482,516,7371,289,34250,6,137
11454515,30480,516,7351,291,35150,4,137
12673289,30497,516,7353,298,35790,4,137
13505565,30532,516,7348,280,37800,4,137
11994607,30549,522,7354,282,39636,4,137
11775974,30564,522,7360,283,41374,4,137
10289382,30564,522,7360,283,43504,6,137
10413268,30564,522,7360,283,44128,6,137
10310849,30709,526,7443,268,45620,8,137
10992526,30761,526,7459,267,47040,8,137
11171971,30782,526,7472,262,47696,10,137
10641167,30813,526,7469,257,50040,10,137
11251493,30838,526,7478,260,51516,12,137
11915057,30859,526,7463,269,52986,12,137
14105625,30869,526,7462,270,54390,12,137
13868518,30886,526,7473,249,56024,12,137
4722991,30881,526,7460,241,57688,12,137
3905977,8504,105,2979,85,15170,4,153
3649236,8516,105,2980,83,14556,4,153
3638320,8530,105,2981,82,15354,4,153
3671180,8538,105,2983,90,15294,4,153
4120391,8538,105,2980,91,15234,6,153
4694320,8538,105,2980,85,14488,6,153
4276879,8546,105,2989,82,15538,8,153
4017287,8558,105,2987,81,14950,8,153
3552665,8558,105,2987,81,16002,8,153
3668783,8558,105,2987,81,15298,8,153
3782734,8561,105,2988,80,15790,6,153
4033636,8578,105,2997,83,15810,8,153
4035012,8591,105,3000,82,15878,10,153
3736039,8589,105,3002,80,15596,12,153
3787489,8589,105,3007,82,15186,14,153
3824628,8584,105,3013,85,15424,14,153
4670583,8589,104,3008,85,15906,14,153
4682106,8599,104,3008,77,15868,16,153
1527954,8597,104,3005,75,16690,16,153
