energia_ativa_alta_tensao_kwh,cpes_domestico_alta_tensao,cpes_nao_domestico_alta_tensao,cpes_outros_alta_tensao,densidade_populacional_pessoas_km2,num_industrias_extrativas,num_industrias_transformadoras
0.005891542,0,134,0,48,0,160
0.006159115,0,134,0,48,0,160
0.006360625,0,134,0,48,0,160
0.005961164,0,134,0,48,0,160
0.005272178,0,134,0,48,0,160
0.006615131,0,132,0,48,0,160
0.00567441,0,132,0,48,0,160
0.006187526,0,132,0,48,0,160
0.005652034,0,132,0,48,0,160
0.005924078,0,132,0,48,0,160
0.00525244,0,133,0,48,0,160
0.005906508,0,133,0,48,0,160
0.005357597,0,132,0,48,0,160
0.005680322,0,132,0,48,0,160
0.006098404,0,131,0,48,0,160
0.006292665,0,131,0,48,0,160
0.005739963,0,130,0,48,0,160
0.000246588,0,16,0,26,3,42
0.00021585,0,16,0,26,3,42
0.000228321,0,16,0,26,3,42
0.000239289,0,16,0,26,3,42
0.000257138,0,16,0,26,3,42
0.000225363,0,16,0,26,3,42
0.000195666,0,16,0,26,3,42
0.000197758,0,16,0,26,3,42
0.000174455,0,16,0,26,3,42
0.000174014,0,16,0,26,3,42
0.000171164,0,16,0,26,3,42
0.000184719,0,16,0,26,3,42
0.000202506,0,16,0,26,3,42
0.000188051,0,16,0,26,3,42
0.00021053,0,16,0,26,3,42
0.00022975,0,16,0,26,3,42
0.000234395,0,16,0,26,3,42
0.000621877,0,39,0,9,4,40
0.000336901,0,39,0,9,4,40
0.000274348,0,39,0,9,4,40
0.000170463,0,39,0,9,4,40
0.000140352,0,39,0,9,4,40
0.000146673,0,38,0,9,4,40
0.000146899,0,38,0,9,4,40
0.000219936,0,38,0,9,4,40
0.000361439,0,38,0,9,4,40
0.000469632,0,38,0,9,4,40
0.000593425,0,38,0,9,4,40
0.00075448,0,38,0,9,4,40
0.000626678,0,38,0,9,4,40
0.000355796,0,38,0,9,4,40
0.000263041,0,38,0,9,4,40
0.000166068,0,38,0,9,4,40
0.000156068,0,38,0,9,4,40
0.008327918,0,91,0,159,1,269
0.013000726,0,91,0,159,1,269
0.012996088,0,91,0,159,1,269
0.013165868,0,92,0,159,1,269
0.011079849,0,92,0,159,1,269
0.011099903,0,92,0,159,1,269
0.012307057,0,92,0,159,1,269
0.013463007,0,92,0,159,1,269
0.01202715,0,92,0,159,1,269
0.011546733,0,92,0,159,1,269
0.011218319,0,91,0,159,1,269
0.011495667,0,91,0,159,1,269
0.007835683,0,91,0,159,1,269
0.011319493,0,91,0,159,1,269
0.012653544,0,91,0,159,1,269
0.01181153,0,91,0,159,1,269
0.008871029,0,91,0,159,1,269
0.013673864,0,124,0,320,1,137
0.011752874,0,126,0,320,1,137
0.010701255,0,125,0,320,1,137
0.007788278,0,125,0,320,1,137
0.006823147,0,126,0,320,1,137
0.006641957,0,127,0,320,1,137
0.006555221,0,128,0,320,1,137
0.008322189,0,129,0,320,1,137
0.009596486,0,129,0,320,1,137
0.010724394,0,129,0,320,1,137
0.011970546,0,130,0,320,1,137
0.014138246,0,131,0,320,1,137
0.014733998,0,131,0,320,1,137
0.012398262,0,131,0,320,1,137
0.011447961,0,131,0,320,1,137
0.008050498,0,131,0,320,1,137
0.007181648,0,131,0,320,1,137
0.002810472,0,100,0,98,1,182
0.003449799,0,100,0,98,1,182
0.003988021,0,100,0,98,1,182
0.00381185,0,100,0,98,1,182
0.003399256,0,101,0,98,1,182
0.004065502,0,99,0,98,1,182
0.003614559,0,99,0,98,1,182
0.003937543,0,100,0,98,1,182
0.003553797,0,100,0,98,1,182
0.003599319,0,100,0,98,1,182
0.003619957,0,99,0,98,1,182
0.0033061,0,99,0,98,1,182
