energia_ativa_baixa_tensao_kwh,cpes_domestico_baixa_tensao,cpes_iluminacao_publica_baixa_tensao,cpes_nao_domestico_baixa_tensao,cpes_outros_baixa_tensao,cpes_mobilidade_eletrica_nao_baixa_tensao,cpes_mobilidade_eletrica_sim_baixa_tensao,densidade_populacional_pessoas_km2
0.005908716,0.02026,0.0293,0.04318,0.0083,0.022194,0.002,0.0048
0.005319528,0.02027,0.0293,0.04311,0.0081,0.022596,0.002,0.0048
0.00543106,0.02028,0.0293,0.04302,0.0081,0.023126,0.002,0.0048
0.005845742,0.020291,0.0293,0.04308,0.008,0.023938,0.002,0.0048
0.006780793,0.020297,0.0294,0.04312,0.0082,0.02442,0.002,0.0048
0.00737128,0.020298,0.0294,0.04309,0.0082,0.026668,0.002,0.0048
0.006508911,0.020288,0.0294,0.0431,0.0113,0.026998,0.002,0.0048
0.006078748,0.02028,0.0294,0.04316,0.0075,0.027946,0.002,0.0048
0.005176041,0.02028,0.0294,0.04316,0.0075,0.028614,0.002,0.0048
0.005243476,0.02028,0.0294,0.04316,0.0075,0.028388,0.002,0.0048
0.005393047,0.020329,0.0295,0.04346,0.0077,0.029668,0.004,0.0048
0.005895124,0.020344,0.0295,0.04341,0.0073,0.029358,0.004,0.0048
0.005991535,0.020344,0.0296,0.04338,0.0072,0.02963,0.004,0.0048
0.005378651,0.020344,0.0296,0.04344,0.007,0.02971,0.004,0.0048
0.005650166,0.020372,0.0296,0.04351,0.0069,0.030914,0.004,0.0048
0.006196875,0.020382,0.0296,0.04348,0.0069,0.031706,0.004,0.0048
0.007719291,0.020379,0.0296,0.04354,0.0068,0.03292,0.004,0.0048
0.001175081,0.003782,0.0092,0.01,0.0014,0.00379,0.002,0.0026
0.001020159,0.003784,0.0092,0.00999,0.0016,0.003832,0.002,0.0026
0.001040276,0.003784,0.0092,0.00998,0.0016,0.004192,0.002,0.0026
0.00108608,0.003779,0.0092,0.00999,0.0016,0.004976,0.002,0.0026
0.001167576,0.003782,0.0093,0.01001,0.0016,0.005098,0.002,0.0026
0.001178492,0.003788,0.0095,0.00998,0.0015,0.005322,0.002,0.0026
0.001016374,0.003793,0.0095,0.00996,0.0015,0.005942,0.002,0.0026
0.001062276,0.003794,0.0095,0.00997,0.0014,0.005818,0.004,0.0026
0.000950221,0.003794,0.0095,0.00997,0.0014,0.00599,0.004,0.0026
0.000967925,0.003794,0.0095,0.00997,0.0014,0.005838,0.004,0.0026
0.000992994,0.003802,0.0095,0.01007,0.0013,0.006604,0.004,0.0026
0.001146291,0.003806,0.0095,0.01006,0.0014,0.00698,0.004,0.0026
0.001190658,0.003813,0.0095,0.01005,0.0011,0.007136,0.004,0.0026
0.001023007,0.003811,0.0095,0.01001,0.001,0.007028,0.004,0.0026
0.00108371,0.003811,0.0095,0.01002,0.0011,0.007338,0.004,0.0026
0.001141016,0.003806,0.0095,0.01001,0.0015,0.007602,0.004,0.0026
